material_id,name,formula,MW_db,density_g_cm3,material_class,dielectric_real,dielectric_imag,diel_freq_hz,measurement_regime,n_633nm,k_633nm,n_785nm,k_785nm,xray_sld_real,neutron_sld_real,storage_modulus_pa,loss_modulus_pa,viscosity_mpa_s,BertzCT,MW,FractionCSP3,LogP,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeavyAtoms,NumRings,NumRotatableBonds,TPSA,h_bond_acceptors,h_bond_donors,rotatable_bonds,n2,f_LL,f_CM,molar_vol,f_LL_norm,f_CM_norm
1,Water,H2O,18.015,1.0,biological,78.4,,0.0,low_frequency,,,,,9.41994623362566e-06,-5.60996759557702e-07,0.0,0.0,0.9458,,18.010564684,0.0,-0.8247,0.0,0.0,0.0,,0.0,0.0,31.5,0.0,0.0,0.0,,,0.9626865671641791,18.010564684,,0.053451215109285195
2,Gold,Au,196.96657,19.32,metal,-24.0,1.5,300000000000000.0,optical_frequency,0.18,3.45,,,0.00013149958483173516,4.507025760040478e-06,,,,,196.9665687,0.0,-0.0025,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0324,-0.4760873843731549,1.1363636363636365,10.19495697204969,-0.04669832208987124,0.11146330872009273
3,SiO2,O2Si,60.084,2.2,oxide,3.9,,0.0,low_frequency,1.4569563472841431,,1.453565190268244,,1.8640939139069593e-05,3.4740487609567804e-06,,,,,59.966755770000006,0.0,-0.6184000000000001,0.0,2.0,0.0,,0.0,0.0,34.14,2.0,0.0,0.0,2.1227217978915527,0.27232538428029185,0.4915254237288135,27.25761625909091,0.009990799697661252,0.01803259019632287
4,Polystyrene,(C8H8)n,104.15,1.05,polymer,2.6,,0.0,low_frequency,1.5875273999289277,,1.5787750554616504,,9.580777231154543e-06,1.4111619128033947e-06,3000000000.0,150000000.0,,,106.07825032,0.25,2.2490000000000006,1.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,1.0,2.5202432455251014,0.33631890209229215,0.3478260869565218,101.02690506666666,0.0033290033171892047,0.0034429054985599607
5,DPPC,C40H80NO8P,734.0,1.01,biological,2.0,,0.0,low_frequency,1.48,,1.477,,9.4805610208962e-06,2.279311359427869e-07,10000000.0,1000000.0,80.0,,733.5621551499999,0.95,10.611799999999995,0.0,8.0,0.0,,0.0,38.0,111.19,8.0,0.0,38.0,2.1904,0.28407789232531494,0.25,726.2991635148513,0.00039113068910963454,0.0003442107778152329
6,PMMA,(C5H8O2)n,100.115,1.19,polymer,3.6,,0.0,low_frequency,1.4907787917376085,,1.486985401997849,,1.0892417016116188e-05,1.0673609439905036e-06,3000000000.0,125000000.0,,,102.06807956,0.8,0.8154,0.0,2.0,0.0,,0.0,1.0,26.3,2.0,0.0,1.0,2.222421405894644,0.289507201765343,0.46428571428571436,85.77149542857143,0.0033753311670593187,0.005413053741990088
7,Ethanol,C2H6O,46.07,0.789,solvent,24.5,,0.0,low_frequency,1.359443924488406,8.809611554485409e-08,1.3564054341374465,1.5015965923122482e-07,7.556398086204237e-06,-3.4536074002844607e-07,0.0,0.0,1.074,,46.041864812,1.0,-0.0014000000000000123,0.0,1.0,1.0,,0.0,0.0,20.23,1.0,1.0,0.0,1.8480877838284389,0.22039200545073884,0.8867924528301887,58.35470825348542,0.003776764755525536,0.015196587891041717
8,DMSO,C2H6OS,78.14,1.1,solvent,46.7,,0.0,low_frequency,1.4768356780945269,,1.4701579715774467,,1.003347237090223e-05,-4.2523373249777416e-08,0.0,0.0,1.987,,78.013935812,1.0,-0.005299999999999971,0.0,1.0,0.0,,0.0,0.0,17.07,1.0,0.0,0.0,2.181043620092921,0.2824757948989475,0.9383983572895277,70.9217598290909,0.0039829213992950115,0.013231458998633204
9,PEG,C2H6O2,62.07,1.13,polymer,12.0,,0.0,low_frequency,1.5287255683727305,,1.5262574107954103,,1.0504086889545031e-05,2.6908713996969087e-07,0.0,0.0,60.0,,62.036779432,1.0,-1.029,0.0,2.0,2.0,,0.0,1.0,40.46,2.0,2.0,1.0,2.337001863396528,0.30827790845112835,0.7857142857142857,54.899804807079654,0.005615282413743193,0.014311786507717477
10,Silicon,Si,28.085,2.329,semiconductor,11.7,,0.0,low_frequency,,,,,1.9701794572149453e-05,2.0720482529969365e-06,,,,,27.97692653,0.0,-0.3808,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.7810218978102189,12.01242015027909,,0.06501786384753393
