Feature,r,p,N_pairs,Significant,NEWLY_SIGNIFICANT,UNRELIABLE,INORGANIC_EXCLUDED,Class_filter
MW_db,-0.13409,0.595792,18,no,no,False,False,low_frequency
density_g_cm3,0.160115,0.525651,18,no,no,False,False,low_frequency
dielectric_imag,-0.620103,0.574182,3,no,no,True,False,low_frequency
n_633nm,0.6784,0.003866,16,YES,no,False,False,low_frequency
k_633nm,-0.588787,0.599211,3,no,no,True,False,low_frequency
n_785nm,0.810692,0.008033,9,YES,YES,False,False,low_frequency
k_785nm,-1.0,1.0,2,no,no,True,False,low_frequency
xray_sld_real,0.159142,0.528204,18,no,no,False,False,low_frequency
neutron_sld_real,-0.253612,0.309885,18,no,no,False,False,low_frequency
storage_modulus_pa,-0.503061,0.249805,7,no,no,False,False,low_frequency
loss_modulus_pa,-0.502665,0.250239,7,no,no,False,False,low_frequency
viscosity_mpa_s,-0.779149,0.120377,5,no,no,True,False,low_frequency
BertzCT,-0.337472,0.578618,5,no,no,True,False,low_frequency
MW,-0.134098,0.59577,18,no,no,False,False,low_frequency
FractionCSP3,-0.207977,0.456995,15,no,no,False,False,low_frequency
LogP,-0.333072,0.244563,14,no,no,False,False,low_frequency
NumAromaticRings,-0.211787,0.448602,15,no,no,False,False,low_frequency
NumHAcceptors,-0.245758,0.377293,15,no,no,False,False,low_frequency
NumHDonors,-0.256334,0.356429,15,no,no,False,False,low_frequency
NumHeavyAtoms,-0.450547,0.369908,6,no,no,False,False,low_frequency
NumRings,-0.25913,0.500759,9,no,no,False,False,low_frequency
NumRotatableBonds,-0.224782,0.420567,15,no,no,False,False,low_frequency
TPSA,-0.15953,0.585917,14,no,no,False,False,low_frequency
h_bond_acceptors,-0.392169,0.296517,9,no,no,False,False,low_frequency
h_bond_donors,-0.090259,0.81737,9,no,no,False,False,low_frequency
rotatable_bonds,-0.286905,0.454144,9,no,no,False,False,low_frequency
f_LL,0.604287,0.013164,16,YES,YES,False,False,low_frequency
f_CM,0.744531,0.000394,18,YES,YES,False,False,low_frequency
molar_vol,-0.13498,0.593331,18,no,no,False,False,low_frequency
f_LL_norm,0.535557,0.032514,16,YES,YES,False,False,low_frequency
f_CM_norm,0.573889,0.012759,18,YES,YES,False,False,low_frequency
MW_db,-0.076864,0.740528,21,no,no,False,False,all
density_g_cm3,-0.381115,0.088275,21,no,no,False,False,all
dielectric_imag,-0.258722,0.620576,6,no,no,False,False,all
n_633nm,0.417184,0.075557,19,no,no,False,False,all
k_633nm,-0.75621,0.081905,6,no,no,False,False,all
n_785nm,0.043884,0.904188,10,no,no,False,False,all
k_785nm,-0.77798,0.432489,3,no,no,True,False,all
xray_sld_real,-0.377156,0.091908,21,no,no,False,False,all
neutron_sld_real,-0.381959,0.087514,21,no,no,False,False,all
storage_modulus_pa,-0.503061,0.249805,7,no,no,False,False,all
loss_modulus_pa,-0.502665,0.250239,7,no,no,False,False,all
viscosity_mpa_s,-0.779149,0.120377,5,no,no,True,False,all
BertzCT,0.25476,0.581403,7,no,no,False,True,all
MW,-0.076868,0.740512,21,no,no,False,False,all
FractionCSP3,0.009962,0.968706,18,no,no,False,False,all
LogP,-0.182691,0.48279,17,no,no,False,True,all
NumAromaticRings,-0.116772,0.644483,18,no,no,False,False,all
NumHAcceptors,-0.031826,0.900237,18,no,no,False,False,all
NumHDonors,-0.098221,0.698208,18,no,no,False,False,all
NumHeavyAtoms,-0.110252,0.794946,8,no,no,False,False,all
NumRings,-0.167986,0.642726,10,no,no,False,False,all
NumRotatableBonds,-0.126106,0.618054,18,no,no,False,False,all
TPSA,0.10513,0.688008,17,no,no,False,True,all
h_bond_acceptors,-0.214692,0.551416,10,no,no,False,False,all
h_bond_donors,0.000465,0.998983,10,no,no,False,False,all
rotatable_bonds,-0.18679,0.605357,10,no,no,False,False,all
f_LL,0.476268,0.039263,19,YES,YES,False,False,all
f_CM,0.155369,0.501269,21,no,no,False,False,all
molar_vol,-0.076193,0.742718,21,no,no,False,False,all
f_LL_norm,0.247293,0.30739,19,no,no,False,False,all
f_CM_norm,-0.181951,0.429894,21,no,no,False,False,all
