idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_page_primary,axis_primary,process_condition_primary,n_633,k_633,flags,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,process_condition_axis2,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,process_condition_axis3
51,Barium fluoride,BaF2,,62670.0,[F-].[F-].[Ba+2],OYLGJCQECKOTOL-UHFFFAOYSA-L,7787-32-8,175.32,True,mp-1029,Fm-3m (#225),0.0,4.825907163104328,MP_DFT,8048.0,34.18570854761361,4.267694059074625,2.714875019757259,5.159136197979582e-05,False,main,BaF2,Malitson,,,1.473264559599213,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (7787-32-8); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data",,,,,,,,,,,,,,,
52,Calcium fluoride,CaF2,,84512.0,[F-].[F-].[Ca+2],WUKWITHWXAAZEY-UHFFFAOYSA-L,7789-75-5,78.07,True,mp-2741,Fm-3m (#225),0.0,3.0898327035512185,MP_DFT,8048.0,25.878054528175454,0.9553261391505153,3.815153603760526,2.977110928005874e-05,False,main,CaF2,Malitson,,,1.4328849539594277,,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (7789-75-5); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data",,,,,,,,,,,,,,,
53,Cadmium fluoride,CdF2,,24634.0,F[Cd]F,LVEULQCPJDDSLD-UHFFFAOYSA-L,7790-79-6,150.41,True,mp-241,Fm-3m (#225),0.0,6.340854978788501,MP_DFT,8048.0,47.436878498199064,3.4612031673740704,4.097032364398337,0.1779114298881754,False,main,CdF2,Bosomworth-300K,,,,,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (7790-79-6); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data; [Bosomworth-300K] 633nm outside n range of main/CdF2/nk/Bosomworth-300K.yml",,,,,,,,,,,,,,,
54,Cerium(III) fluoride,CeF3,tysonite,24457.0,[F-].[F-].[F-].[Ce+3],QCCDYNYSHILRDG-UHFFFAOYSA-K,7758-88-5,197.111,True,mp-510560,P-3c1 (#165),0.0,6.236949290468817,MP_DFT,8048.0,44.78591783649901,5.501985749369408,4.154398262201736,3.490966651040607e-05,False,main,CeF3,Rodriguez-de_Marcos,,,1.627131524033249,0.003209831225153596,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (7758-88-5)",,,,,,,,,,,,,,,
55,Cesium fluoride,CsF,,25953.0,[F-].[Cs+],XJHCXCQVJFPJIK-UHFFFAOYSA-M,13400-13-0,151.9038551,True,mp-1784,Fm-3m (#225),0.0,4.6425917609252725,MP_DFT,8048.0,32.88548429239227,4.302289447855297,2.0382015243886857,0.001484788722913938,False,main,CsF,Li,,,1.476784863585662,,"pubchem: 10 CAS numbers in PUG-View record, took first/primary (13400-13-0); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data",,,,,,,,,,,,,,,
56,Gadolinium(III) fluoride,GdF3,,83716.0,F[Gd](F)F,TYIZUJNEZNBXRS-UHFFFAOYSA-K,13765-26-9,214.24,True,,,,,literature,8048.0,,,,,True,main,GdF3,Franta,,,1.584074197679945,2.449553043218186e-06,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (13765-26-9); no MP structure match. Density = None g/cm3 (NAMED EXCLUSION -- see EXCLUSION_STATE['GdF3']. No experimental density obtainable within the timebox; MP's only entry is theoretical/unverified and structurally inconsistent with GdF3's documented room-temperature phase. Deliberately left as None, not backfilled with an untrustworthy MP value.). Verify before use.; SLD: no density available, xray/neutron SLD left NULL",,,,,,,,,,,,,,,
57,Potassium fluoride,KF,,522689.0,[F-].[K+],NROKBHXJSPEDAR-UHFFFAOYSA-M,7789-23-3,58.0967,True,mp-463,Fm-3m (#225),0.0,2.57908054231024,MP_DFT,8048.0,21.463708425569685,0.8730846604802258,2.4926803160109325,0.00015683563732143464,False,main,KF,Li,,,1.3615958812277331,,"pubchem: 13 CAS numbers in PUG-View record, took first/primary (7789-23-3); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data",,,,,,,,,,,,,,,
58,Lanthanum fluoride,LaF3,tysonite,83675.0,F[La](F)F,BYMUNNMMXKDFEZ-UHFFFAOYSA-K,13709-38-1,195.9007,True,mp-905,P-3c1 (#165),0.0,5.9840962289428,MP_DFT,8048.0,42.97775369144873,5.14918655607621,4.636054534302485,0.0004603397158664465,False,main,LaF3,Laihoa-o,o-ray,,1.6024895297473833,,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (13709-38-1)",e-ray,1.5951855224705385,,Laihoa-e,,,,,,,,,,,
59,Lithium calcium aluminum fluoride (LiCAF),LiCaAlF6,colquiriite,,,,,,,mp-6134,P-31c (#163),0.0,2.861738341850416,MP_DFT,8048.0,23.52032304079273,0.4867534831396487,3.6800693309198897,0.0018155989560004523,True,main,LiCaAlF6,Woods-o,o-ray,,1.3915059647788222,,pubchem: not found by name,e-ray,1.3901715830152814,,Woods-e,,,,,,,,,,,
60,Lithium fluoride,LiF,,224478.0,[Li+].[F-],PQXKHYXIUOZZFA-UHFFFAOYSA-M,7789-24-4,26.0,True,mp-1138,Fm-3m (#225),0.0,2.5304317839422974,MP_DFT,8048.0,19.992743234328273,0.091546571813847,2.187821936023529,0.011519426763434832,True,main,LiF,Li,,,1.3912735543717993,,"pubchem: 20 CAS numbers in PUG-View record, took first/primary (7789-24-4); polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data",,,,,,,,,,,,,,,
