idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key
1,Silver arsenic sulfide (proustite),Ag3AsS3,,,,,,,,mp-4431,R3c (#161),0.0033403774999989366,5.4169140111316345,MP_DFT,8048.0,41.360445247441795,2.878791878951524,2.1686014978375536,0.0035939309182082295,False,main,Ag3AsS3,630.0,4600.0,Hulme-o,o-ray,3.001313060632635,,e-ray,2.7287979914107727,,Hulme-e,"pubchem: not found by name; MP candidates (evidence): mp-561620 C2/c (#15) hull=0.0000eV rho=5.394 nsites=28; mp-4431 R3c (#161) hull=0.0033eV rho=5.417 nsites=14; mp-555843 R3c (#161) hull=0.0209eV rho=4.821 nsites=14; mp-1183025 Cc (#9) hull=0.1810eV rho=4.822 nsites=14 theoretical; density = MP DFT (calculated, not measured) for the ambient structure proustite (R3c), mp-4431, 3.3 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; lowest-energy MP entry is a different phase (mp-561620 C2/c); not used; birefringent",,,,,,,,,,sulfide,Ag3AsS3
2,Silver gallium sulfide (AGS),AgGaS2,,,,,,,,mp-5342,I-42d (#122),0.0,4.6697246633452805,MP_DFT,8048.0,35.9189098534409,2.0221745980034003,2.199374122765889,0.0021712656316244024,False,main,AgGaS2,540.0,12900.0,Kato-o,o-ray,2.5474863365870455,,e-ray,2.5037850709556944,,Kato-e,"pubchem: not found by name; MP candidates (evidence): mp-5342 I-42d (#122) hull=0.0000eV rho=4.670 nsites=8; mp-556916 Cc (#9) hull=0.0026eV rho=4.543 nsites=8; mp-1096972 R3m (#160) hull=0.1782eV rho=5.115 nsites=4 theoretical; density = MP DFT (calculated, not measured) for the ambient structure chalcopyrite (I-42d), mp-5342, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Boyd1971 | o-ray: n(633 nm)=2.5533856885444157; additional source Boyd1971 | e-ray: n(633 nm)=2.5071120515769922; additional source Takaoka1999 | o-ray: n(633 nm)=2.5480948513442456; additional source Takaoka1999 | e-ray: n(633 nm)=2.5042165389996476; 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Kato1996 | o-ray, widest span among those covering 633 nm); birefringent",,,,,,,,,,sulfide,AgGaS2
3,Barium gallium sulfide (BGS),BaGa4S7,,,,,,,,mp-4309,Pmn2_1 (#31),0.0,3.824823529978818,MP_DFT,8048.0,29.202639406310603,1.6299630593451433,1.9469527521443897,0.0001580742457065522,False,main,BaGa4S7,420.0,9500.0,Badikov-α,alpha-axis,2.345992007601119,,beta-axis,2.3680239249517743,,Badikov-β,"pubchem: not found by name; MP candidates (evidence): mp-4309 Pmn2_1 (#31) hull=0.0000eV rho=3.825 nsites=24; MP entry = the only non-theoretical one within 5 meV of the lowest, 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; additional source Kato2021 | alpha-axis: n(633 nm)=2.3423289899630557; additional source Kato2021 | beta-axis: n(633 nm)=2.365036228241834; additional source Kato2021 | gamma-axis: n(633 nm)=2.387730008735256; 2 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Badikov2010 | alpha-axis, widest span among those covering 633 nm); birefringent",gamma-axis,2.388722760977369,,Badikov-γ,,,,,,sulfide,BaGa4S7
4,Cadmium gallium sulfide,CdGa2S4,,,,,,,,mp-4452,I-4 (#82),0.0,3.94633238195508,MP_DFT,8048.0,30.467142063017217,1.5036173171208937,1.9253637878288647,0.043947967427166584,False,main,CdGa2S4,490.0,7519.0,Kato-o,o-ray,2.4481695468920286,,e-ray,2.445205640985633,,Kato-e,"pubchem: not found by name; MP candidates (evidence): mp-4452 I-4 (#82) hull=0.0000eV rho=3.946 nsites=7; MP entry = the only non-theoretical one within 5 meV of the lowest, 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; birefringent",,,,,,,,,,sulfide,CdGa2S4
5,Copper gallium sulfide,CuGaS2,,,,,,,,mp-5238,I-42d (#122),0.0,4.413158158743193,MP_DFT,8048.0,33.92242242213399,0.9525584554523436,2.787069463351779,0.00028418394602215024,False,main,CuGaS2,550.0,11500.0,Boyd-20-o,o-ray,2.671961096236518,,e-ray,2.673844255880175,,Boyd-20-e,"pubchem: not found by name; MP candidates (evidence): mp-5238 I-42d (#122) hull=0.0000eV rho=4.413 nsites=8; mp-1096985 R3m (#160) hull=0.1751eV rho=4.604 nsites=4 theoretical; density = MP DFT (calculated, not measured) for the ambient structure chalcopyrite (I-42d), mp-5238, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Boyd1971-120C | o-ray: n(633 nm)=2.68004221001801; additional source Boyd1971-120C | e-ray: n(633 nm)=2.683133247774075; 2 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Boyd1971-20C | o-ray, widest span among those covering 633 nm); birefringent",,,,,,,,,,sulfide,CuGaS2
6,Mercury gallium sulfide,HgGa2S4,,,,,,,,mp-4809,I-4 (#82),0.0,4.848774590854567,MP_DFT,8048.0,35.29611192367118,2.085615033920255,2.4043899553660997,0.006587970051606111,False,main,HgGa2S4,632.8000000000001,10591.0,Kato-o,o-ray,2.5896961263701064,,e-ray,2.535285560844661,,Kato-e,"pubchem: not found by name; MP candidates (evidence): mp-4809 I-4 (#82) hull=0.0000eV rho=4.849 nsites=7; MP entry = the only non-theoretical one within 5 meV of the lowest, 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; birefringent",,,,,,,,,,sulfide,HgGa2S4
7,Lithium gallium sulfide (LGS),LiGaS2,,,,,,,,mp-3647,Pna2_1 (#33),0.0,2.923762052497857,MP_DFT,8048.0,23.04341048739889,0.6707840777282946,1.3822404186760964,0.002584462828360299,True,main,LiGaS2,1025.0,10591.0,Kato-α,alpha-axis,,,beta-axis,,,Kato-β,"pubchem: not found by name; MP candidates (evidence): mp-3647 Pna2_1 (#33) hull=0.0000eV rho=2.924 nsites=16; density = MP DFT (calculated, not measured) for the ambient structure beta-NaFeO2-type (Pna2_1), mp-3647, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; [Kato-α] 633nm outside n range of main/LiGaS2/nk/Kato-alpha.yml; [Kato-β] 633nm outside n range of main/LiGaS2/nk/Kato-beta.yml; [Kato-γ] 633nm outside n range of main/LiGaS2/nk/Kato-gamma.yml; biaxial",gamma-axis,,,Kato-γ,,,,,,sulfide,LiGaS2
8,Silver gallium selenide (AGSe),AgGaSe2,,,,,,,,mp-5518,I-42d (#122),0.0,5.606598713585684,MP_DFT,8048.0,40.63453162489115,2.1066765068501505,2.9332794236132114,0.0025030846589807402,False,main,AgGaSe2,810.0,18000.0,Kato-o,o-ray,,,e-ray,,,Kato-e,"pubchem: not found by name; MP candidates (evidence): mp-5518 I-42d (#122) hull=0.0000eV rho=5.607 nsites=8; mp-1224792 P-4m2 (#115) hull=0.0335eV rho=5.393 nsites=4 theoretical; density = MP DFT (calculated, not measured) for the ambient structure chalcopyrite (I-42d), mp-5518, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; [Kato-o] 633nm outside n range of main/AgGaSe2/nk/Kato-o.yml; [Kato-e] 633nm outside n range of main/AgGaSe2/nk/Kato-e.yml; additional source Harasaki1997 | o-ray: n(633 nm)=None; additional source Harasaki1997 | e-ray: n(633 nm)=None; additional source Boyd1972 | o-ray: n(633 nm)=None; additional source Boyd1972 | e-ray: n(633 nm)=None; 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Kato2021 | o-ray, widest span among those covering 633 nm); birefringent",,,,,,,,,,selenide,AgGaSe2
9,Arsenic triselenide,As2Se3,,,,,,,False,mp-909,P2_1/c (#14),0.0,4.5731865310010855,bulk_elemental_approximation,8048.0,32.85374521864728,1.1308920810497933,2.6397033943619914,0.0008732758522520138,False,main,As2Se3,245.79999999999998,1688.0,Joseph-400nm,,3.052928666666667,0.08134200000000004,,,,,"pubchem: formula mismatch (target=As2Se3, pubchem=AsSe) -- pubchem fields NULLed; MP candidates (evidence): mp-909 P2_1/c (#14) hull=0.0000eV rho=4.573 nsites=20; mp-1078443 C2/m (#12) hull=0.0273eV rho=5.039 nsites=10; MP entry = the only non-theoretical one within 5 meV of the lowest, 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; density relabeled bulk approximation: sample is film, MP value is a bulk (crystalline) stand-in; additional source Joseph2020: n(633 nm)=3.0782793333333336, k=0.5309513333333337; 2 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Joseph2021, widest span among those covering 633 nm); sample state stated by the source: film; RI.info pages are 400 nm and 700 nm amorphous films on glass (two papers); density is a bulk approximation",,,,,,,,,,selenide,As2Se3
10,Barium gallium germanium selenide (BGGSe),BaGa2GeSe6,,,,,,,,,,,,,8048.0,,,,,False,main,BaGa2GeSe6,778.0,10600.0,Kato-o,o-ray,,,e-ray,,,Kato-e,"pubchem: not found by name; MP candidates (evidence): mp-1227970 P1 (#1) hull=0.0163eV rho=4.883 nsites=10 theoretical; density/SLD left NULL: no non-theoretical MP entry; SLD: no density available, xray/neutron SLD left NULL; [Kato-o] 633nm outside n range of main/BaGa2GeSe6/nk/Kato-o.yml; [Kato-e] 633nm outside n range of main/BaGa2GeSe6/nk/Kato-e.yml",,,,,,,,,,selenide,BaGa2GeSe6
11,Barium gallium selenide (BGSe),BaGa4Se7,,,,,,,,mp-1191072,Pc (#7),0.01086476791666069,4.98972229349473,MP_DFT,8048.0,35.50639442277688,1.7915927466707398,2.791237178897184,0.000810596081986792,False,main,BaGa4Se7,480.0,10400.0,Badikov-α,alpha-axis,2.5980606219231808,,beta-axis,2.6141031884977814,,Badikov-β,"pubchem: not found by name; MP candidates (evidence): mp-1191072 Pc (#7) hull=0.0109eV rho=4.990 nsites=24; MP entry = the only non-theoretical one within 5 meV of the lowest, 10.9 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; additional source Kato2017 | alpha-axis: n(633 nm)=None; additional source Kato2017 | beta-axis: n(633 nm)=None; additional source Kato2017 | gamma-axis: n(633 nm)=None; 2 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Badikov2010 | alpha-axis, widest span among those covering 633 nm); biaxial",gamma-axis,2.6884745104709915,,Badikov-γ,,,,,,selenide,BaGa4Se7
12,Cadmium selenide,CdSe,hexagonal,14784.0,[Se]=[Cd],AQCDIIAORKRFCD-UHFFFAOYSA-N,1306-24-7,191.38,True,mp-1070,P6_3mc (#186),0.0,5.480140003647152,MP_DFT,8048.0,39.53633743213886,2.871489697120833,2.20721495115509,0.12140238485120924,False,main,CdSe,233.93,1033.1999999999998,Ninomiya-o,o-ray,2.5887656603773586,0.31539509433962265,e-ray,2.600300754716981,0.2948882264150943,Ninomiya-e,"pubchem: 10 CAS numbers in PUG-View record, took first/primary (1306-24-7); MP candidates (evidence): mp-1070 P6_3mc (#186) hull=0.0000eV rho=5.480 nsites=4; mp-2691 F-43m (#216) hull=0.0006eV rho=5.490 nsites=2; mp-1055 Fm-3m (#225) hull=0.1458eV rho=6.694 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure wurtzite (P6_3mc), mp-1070, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source cubic | Ninomiya1995: n(633 nm)=2.6570589041095887, k=0.3177432876712329; additional source Lisitsa1969 | o-ray: n(633 nm)=None; additional source Lisitsa1969 | e-ray: n(633 nm)=None; additional source Bond1965 | o-ray: n(633 nm)=None; additional source Bond1965 | e-ray: n(633 nm)=None; 4 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (hexagonal | Ninomiya1995 | o-ray, widest span among those covering 633 nm); Ninomiya & Adachi states the phase on its pages (hexagonal o/e, cubic); Lisitsa and Bond state only o/e rays, no phase",,,,,,,,,,selenide,CdSe
