idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key
1,Soda-lime silica glass,,,,,,,,,,,,,,,,,,,,glass,soda-lime,310.0,4600.0,Rubin-clear,,1.5216181845341628,7.15712117148049e-07,,,,,"additional dataset low-iron window glass | Rubin1985: n(633 nm)=1.5216181845341628, k=1.5989907297111707e-07; additional dataset bronze window glass | Rubin1985: n(633 nm)=1.5216181845341628, k=4.209645019946435e-06; additional dataset grey window glass | Rubin1985: n(633 nm)=1.5216181845341628, k=7.1022456262993275e-06; additional dataset green window glass | Rubin1985: n(633 nm)=1.5216181845341628, k=3.1826859518101625e-06; additional dataset microscope slide, air side | Kamptner2024: n(633 nm)=1.5212290000000002, k=0.0; additional dataset microscope slide, tin side | Kamptner2024: n(633 nm)=1.52279825, k=0.0; additional dataset 10 ppm Fe2O3 | Vogt2016: n(633 nm)=1.512, k=5.922e-08; additional dataset 5 ppm Fe2O3 | Vogt2016: n(633 nm)=1.512, k=3.907e-08; additional dataset 703 ppm Fe2O3 | Vogt2016: n(633 nm)=1.512, k=5.493e-07; additional dataset low-iron float glass (Pilkington Optiwhite) | Treharne2011: n(633 nm)=1.5037711740366828, k=3.323156921147516e-07; additional dataset window glass | Rubin1985: n(633 nm)=None; density/SLD left NULL: no density stated by the source (a multicomponent glass has no MP entry); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition; 12 datasets; n_633/k_633 are the primary (clear window glass | Rubin1985); window, slide and float glass variants are separate datasets labelled by variant",,,,,,,,,,glass,soda-lime
2,N-BK7 borosilicate crown glass (SCHOTT),,,,,,,,,,,,2.51,literature (manufacturer datasheet),,,,,,,specs,SCHOTT-optical,300.0,2500.0,N-BK7,,1.5150823520020043,1.212595e-08,,,,,additional dataset BK7 | Lane1990: n(633 nm)=None; density 2.51 g/cm3 stated by the manufacturer's datasheet (N-BK7); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition; 2 datasets; n_633/k_633 are the primary (N-BK7 | SCHOTT2017); Lane 1990 measured BK7 (the predecessor of N-BK7) in the infrared,,,,,,SCHOTT Zemax catalog 2017-01-20b (obtained from http://www.schott.com) See also SCHOTT glass data sheets,,,2017.0,glass,N-BK7
3,B 270 Superwite crown glass (SCHOTT),,,,,,,,,,,,,,,,,,,,specs,SCHOTT-misc,435.83,656.27,B270,,1.5211375,,,,,,density/SLD left NULL: no density stated by the source (a multicomponent glass has no MP entry); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition; modified soda-lime glass,,,,,,,,,,glass,B270
4,BOROFLOAT 33 borosilicate glass (SCHOTT),,,,,,,,,,,,2.23,literature (manufacturer datasheet),,,,,,,specs,SCHOTT-misc,240.0,1550.0,BOROFLOAT33,,1.4699624757860965,1.5324e-08,,,,,density 2.23 g/cm3 stated by the manufacturer's datasheet (BOROFLOAT33); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition,,,,,,"1) BOROFLOAT® 33 – Optical Properties, June 2021 (obtained from http://www.schott.com). Refractive index: Fit of numerical data with Sellmeier equation - Mikhail Polyanskiy Extinction coefficient: Transmission data extracted from figures and converted to k values - Mikhail Polyanskiy 2) BOROFLOAT® 3",,,2021.0,glass,BOROFLOAT33
5,D 263 T eco thin borosilicate glass (SCHOTT),,,,,,,,,,,,2.51,literature (manufacturer datasheet),,,,,,,specs,SCHOTT-misc,334.0,2325.0,D263TECO,,1.5212803418028862,1.0084755e-08,,,,,density 2.51 g/cm3 stated by the manufacturer's datasheet (D263TECO); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition; cover-slip and thin-substrate glass,,,,,,SCHOTT Zemax catalog 2017-01-20b (obtained from http://www.schott.com)See also SCHOTT glass data sheets,,,2017.0,glass,D263TECO
6,AF 32 eco alkali-free thin glass (SCHOTT),,,,,,,,,,,,2.43,literature (manufacturer datasheet),,,,,,,specs,SCHOTT-misc,310.0,2325.0,AF32ECO,,1.5097880047766443,2.52490375e-08,,,,,density 2.43 g/cm3 stated by the manufacturer's datasheet (AF32ECO); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition,,,,,,SCHOTT Zemax catalog 2017-01-20b (obtained from http://www.schott.com)See also SCHOTT glass data sheets,,,2017.0,glass,AF32ECO
7,ZERODUR glass-ceramic (SCHOTT),,,,,,,,,,,,,,,,,,,,specs,SCHOTT-misc,365.0,2325.0,ZERODUR,,1.5403243996767693,,,,,,density/SLD left NULL: no density stated by the source (a multicomponent glass has no MP entry); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition,,,,,,,,,,glass-ceramic,ZERODUR
8,EAGLE XG display glass (Corning),,,,,,,,,,,,,,,,,,,,specs,CORNING-display,435.8,643.8000000000001,EagleXG,,1.508216146788991,,,,,,density/SLD left NULL: no density stated by the source (a multicomponent glass has no MP entry); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition,,,,,,,,,,glass,EagleXG
9,K108 crown glass (LZOS),,,,,,,,,,,,,,,,,,,,glass,K108-LZOS,185.03,2000000.0,Bassarab,,1.5114701888667992,4.2964433797216705e-08,,,,,density/SLD left NULL: no density stated by the source (a multicomponent glass has no MP entry); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition,,,,,,,,,,glass,K108
10,Barium gallogermanate glass (BGG),,,,,,,,,,,,,,,,,,,,glass,BGG,400.0,5000.0,Zelmon,,1.7471642079956424,,,,,,density/SLD left NULL: no density stated by the source (a multicomponent glass has no MP entry); formula NULL: multicomponent glass (no single formula); no x-ray / neutron SLD without a composition; BaO : Ga2O3 : GeO2 = 42.9 : 17.0 : 40.1,,,,,,,,,,glass,BGG
