idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key
1,Silver chloride,AgCl,rock-salt (Fm-3m),24561,Cl[Ag],HKZLPVFGJNLROG-UHFFFAOYSA-M,7783-90-6,143.32,True,mp-22922,Fm-3m (#225),0.0,5.582622720033226,MP_DFT,8048.0,42.66519533701428,3.2808925854803634,3.636245156393365,0.0063145660505123345,False,main,AgCl,,,Tilton,,2.056835239350508,,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (7783-90-6); MP candidates (evidence): mp-22922 Fm-3m (#225) hull=0.0000eV rho=5.583 nsites=2; mp-1536202 Pmmn (#59) hull=0.0004eV rho=5.586 nsites=4 theoretical; mp-570687 P2_1/m (#11) hull=0.0113eV rho=5.434 nsites=4; mp-570858 Cmcm (#63) hull=0.0285eV rho=5.834 nsites=4; mp-726265 Pm-3m (#221) hull=0.1367eV rho=5.877 nsites=2 theoretical; density = MP DFT (calculated, not measured) for the ambient structure rock-salt (Fm-3m), mp-22922, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page",,,,,,,,,,halide,AgCl
2,Cesium chloride,CsCl,CsCl-type (Pm-3m),24293,[Cl-].[Cs+],AIYUHDOJVYHVIT-UHFFFAOYSA-M,7647-17-8,168.36,True,mp-22865,Pm-3m (#221),0.0,3.929340165360515,MP_DFT,8048.0,28.3979868816758,3.5403127091428814,2.108198213851207,0.002442888692396936,False,main,CsCl,,,Li,,1.6373084009803962,,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (7647-17-8); MP candidates (evidence): mp-22865 Pm-3m (#221) hull=0.0000eV rho=3.929 nsites=2; mp-573697 Fm-3m (#225) hull=0.0071eV rho=3.242 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure CsCl-type (Pm-3m), mp-22865, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page",,,,,,,,,,halide,CsCl
3,Copper(I) chloride,CuCl,zincblende (F-43m),62652,Cl[Cu],OXBLHERUFWYNTN-UHFFFAOYSA-M,7758-89-6,99.0,True,mp-22914,F-43m (#216),0.002345060000000565,4.280034695459081,MP_DFT,8048.0,32.57106481971479,0.9581917428777627,4.503564135841553,0.0026992105678682616,False,main,CuCl,,,Feldman,,1.96605575955525,,,,,,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (7758-89-6); MP candidates (evidence): mp-22914 F-43m (#216) hull=0.0023eV rho=4.280 nsites=2; mp-1184046 P6_3mc (#186) hull=0.0033eV rho=4.271 nsites=4 theoretical; mp-1225654 R3m (#160) hull=0.0045eV rho=4.208 nsites=2 theoretical; mp-23287 Pa-3 (#205) hull=0.0457eV rho=4.764 nsites=16; mp-571386 Fm-3m (#225) hull=0.1781eV rho=4.923 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-22914, 2.3 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page",,,,,,,,,,halide,CuCl
4,Potassium chloride,KCl,rock-salt (Fm-3m),4873,[Cl-].[K+],WCUXLLCKKVVCTQ-UHFFFAOYSA-M,7447-40-7,74.55,True,mp-23193,Fm-3m (#225),0.0,1.995763841390827,MP_DFT,8048.0,16.711419622328645,0.8188095824391377,2.136052703723392,0.00159607252993907,False,main,KCl,,,Querry,,1.48435,0.0,,,,,"pubchem: 18 CAS numbers in PUG-View record, took first/primary (7447-40-7); MP candidates (evidence): mp-23193 Fm-3m (#225) hull=0.0000eV rho=1.996 nsites=2; mp-23289 Pm-3m (#221) hull=0.0776eV rho=2.188 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure rock-salt (Fm-3m), mp-23193, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Li1976: n(633 nm)=1.4880992438526377; 2 sources loaded as separate datasets; n_633/k_633 columns are the primary (Querry1987, widest span)",,,,,,,,,,halide,KCl
5,Lithium chloride,LiCl,rock-salt (Fm-3m),433294,[Li+].[Cl-],KWGKDLIKAYFUFQ-UHFFFAOYSA-M,7447-41-8,42.4,True,mp-22905,Fm-3m (#225),0.02431463874999995,2.1425657404119924,MP_DFT,8048.0,17.471546017650933,0.5992714672731332,2.3282931393683874,0.008803093169343636,True,main,LiCl,,,Li,,1.6614120364151437,,,,,,"pubchem: 17 CAS numbers in PUG-View record, took first/primary (7447-41-8); MP candidates (evidence): mp-1185319 P6_3mc (#186) hull=0.0039eV rho=1.660 nsites=4 theoretical; mp-22905 Fm-3m (#225) hull=0.0243eV rho=2.143 nsites=8; density = MP DFT (calculated, not measured) for the ambient structure rock-salt (Fm-3m), mp-22905, 24.3 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; lowest-energy MP entry is a different phase (mp-1185319 P6_3mc); not used",,,,,,,,,,halide,LiCl
6,Sodium chloride,NaCl,rock-salt (Fm-3m),5234,[Na+].[Cl-],FAPWRFPIFSIZLT-UHFFFAOYSA-M,7647-14-5,58.44,True,mp-22862,Fm-3m (#225),0.0,2.224545046937431,MP_DFT,8048.0,18.414179095615967,0.5300707730368395,3.0280296974203633,0.00216933128944408,False,main,NaCl,,,Querry,,1.5423499999999999,0.0,,,,,"pubchem: 20 CAS numbers in PUG-View record, took first/primary (7647-14-5); MP candidates (evidence): mp-22862 Fm-3m (#225) hull=0.0000eV rho=2.225 nsites=2; mp-1120767 P6_3/mmc (#194) hull=0.0588eV rho=2.050 nsites=12 theoretical; mp-22851 Pm-3m (#221) hull=0.1544eV rho=2.259 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure rock-salt (Fm-3m), mp-22862, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Li1976: n(633 nm)=1.5415901964227305; 2 sources loaded as separate datasets; n_633/k_633 columns are the primary (Querry1987, widest span)",,,,,,,,,,halide,NaCl
7,Rubidium chloride,RbCl,rock-salt (Fm-3m),62683,[Cl-].[Rb+],FGDZQCVHDSGLHJ-UHFFFAOYSA-M,7791-11-9,120.92,True,mp-23295,Fm-3m (#225),0.0,2.7716925459922286,MP_DFT,8048.0,20.978685326655516,0.893846714444725,2.2996400382819773,0.001300557140650069,False,main,RbCl,,,Li,,1.4896335117339619,,,,,,"pubchem: 12 CAS numbers in PUG-View record, took first/primary (7791-11-9); MP candidates (evidence): mp-23295 Fm-3m (#225) hull=0.0000eV rho=2.772 nsites=2; mp-23299 Pm-3m (#221) hull=0.0298eV rho=3.293 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure rock-salt (Fm-3m), mp-23295, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page",,,,,,,,,,halide,RbCl
8,Thallium(I) chloride,TlCl,CsCl-type (Pm-3m),24642,Cl[Tl],GBECUEIQVRDUKB-UHFFFAOYSA-M,7791-12-0,239.83,True,mp-23167,Pm-3m (#221),0.0013070874999989712,7.047416245107482,MP_DFT,8048.0,47.15565909533163,4.559922700492828,3.2481527097932714,0.001817343168299213,False,main,TlCl,,,Schroter,,2.2457472704186117,,,,,,"pubchem: 15 CAS numbers in PUG-View record, took first/primary (7791-12-0); MP candidates (evidence): mp-571079 Cmcm (#63) hull=0.0000eV rho=6.469 nsites=4; mp-23167 Pm-3m (#221) hull=0.0013eV rho=7.047 nsites=2; mp-569639 Fm-3m (#225) hull=0.0062eV rho=5.967 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure CsCl-type (Pm-3m), mp-23167, 1.3 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; lowest-energy MP entry is a different phase (mp-571079 Cmcm); not used",,,,,,,,,,halide,TlCl
9,Silver bromide,AgBr,rock-salt (Fm-3m),66199,Br[Ag],ADZWSOLPGZMUMY-UHFFFAOYSA-M,7785-23-1,187.77,True,mp-23231,Fm-3m (#225),0.0,6.444350910857112,MP_DFT,8048.0,47.46660183495062,3.257500354732913,2.627318190701841,0.00403474616635935,False,main,AgBr,,,Polyanskiy,,2.242376506141831,,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (7785-23-1); MP candidates (evidence): mp-23231 Fm-3m (#225) hull=0.0000eV rho=6.444 nsites=2; mp-2034510 Pmmn (#59) hull=0.0003eV rho=6.445 nsites=4 theoretical; mp-866291 F-43m (#216) hull=0.0305eV rho=5.134 nsites=2 theoretical; mp-570301 P2_1/m (#11) hull=0.0720eV rho=6.245 nsites=4; mp-1060967 Pm-3m (#221) hull=0.2521eV rho=6.660 nsites=2 theoretical; density = MP DFT (calculated, not measured) for the ambient structure rock-salt (Fm-3m), mp-23231, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Schroter1931: n(633 nm)=2.2420762982071443; 2 sources loaded as separate datasets; n_633/k_633 columns are the primary (Polyanskiy2024, widest span)",,,,,,,,,,halide,AgBr
10,Cesium bromide,CsBr,CsCl-type (Pm-3m),24592,[Br-].[Cs+],LYQFWZFBNBDLEO-UHFFFAOYSA-M,7787-69-1,212.81,True,mp-22906,Pm-3m (#221),0.0,4.366105734210124,MP_DFT,8048.0,30.86668251816648,3.3313658938809323,1.5085854053501226,0.0012334711708083465,False,main,CsBr,,,Querry,,1.67,0.0,,,,,"pubchem: 9 CAS numbers in PUG-View record, took first/primary (7787-69-1); MP candidates (evidence): mp-22906 Pm-3m (#221) hull=0.0000eV rho=4.366 nsites=2; mp-571222 Fm-3m (#225) hull=0.0051eV rho=3.601 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure CsCl-type (Pm-3m), mp-22906, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Li1976: n(633 nm)=1.69342898391517; additional source Rodney1953: n(633 nm)=1.692880303092966; 3 sources loaded as separate datasets; n_633/k_633 columns are the primary (Querry1987, widest span)",,,,,,,,,,halide,CsBr
