idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key
1,Boron carbide,B4C,,123279.0,B12B3C14B2B43,INAHAJYZKVIDIZ-UHFFFAOYSA-N,60063-34-5,55.3,True,,,,2.28,literature (density stated on the RI.info page),8048.0,18.24786942387577,0.018139589316137794,6.920335353783066,0.21202241367187324,True,main,B4C,1.737709,21538.10759,Larruquert,,3.2466147319526506,0.4862662974237989,,,,,"pubchem: 14 CAS numbers in PUG-View record, took first/primary (60063-34-5); MP candidates (evidence): mp-1238815 Cm (#8) hull=0.0000eV rho=2.542 nsites=15 theoretical; mp-696746 R-3m (#166) hull=0.0812eV rho=2.488 nsites=15; mp-530074 P1 (#1) hull=0.0973eV rho=2.426 nsites=70 theoretical; mp-571655 R-3m (#166) hull=0.9018eV rho=1.988 nsites=15 theoretical; mp-8035 R-3m (#166) hull=1.0526eV rho=1.240 nsites=15 theoretical; mp-936302 P1 (#1) hull=1.3735eV rho=2.429 nsites=70 theoretical; density 2.28 g/cm3 is STATED by the selected RI.info page (film); not an MP value; sample state stated by the source: film",,,,,10.1364/JOSAA.29.000117,Self-consistent optical constants of sputter-deposited B4C thin films.,"J. I. Larruquert, A. P. Pérez-Marín, S. García-Cortés, L. Rodríguez-de Marcos, J. A. Aznárez, J. A. Méndez.",,2012.0,carbide,B4C
2,Silicon carbide,SiC,thin film,9863.0,[C-]#[Si+],HBMJWWWQQXIZIP-UHFFFAOYSA-N,409-21-2,40.096,True,,,,2.98,literature (density stated on the RI.info page),8048.0,25.571807808050686,0.4218970650223393,4.832877871178136,2.171910202366101e-05,False,main,SiC,488.0,1064.0,Singh-o,o-ray,2.634153191820685,,e-ray,2.6786054024702657,,Singh-e,"pubchem: 13 CAS numbers in PUG-View record, took first/primary (409-21-2); MP candidates (evidence): mp-1204356 R3m (#160) hull=0.0000eV rho=3.228 nsites=38; mp-7631 P6_3mc (#186) hull=0.0000eV rho=3.228 nsites=12; mp-9947 R3m (#160) hull=0.0000eV rho=3.228 nsites=14; mp-568696 P3m1 (#156) hull=0.0000eV rho=3.227 nsites=28; mp-1200692 R3m (#160) hull=0.0000eV rho=3.228 nsites=34; mp-582034 P3m1 (#156) hull=0.0000eV rho=3.227 nsites=42; density 2.98 g/cm3 is STATED by the selected RI.info page (film); not an MP value; 10 datasets; n_633 columns cover the first three only (the DB holds all 10); sample state stated by the source: film; polytypes/phases are distinct datasets under one material; the source states 4H, 6H, beta (zincblende), alpha (hexagonal, polytype not stated) and a thin film",o-ray,2.6350456189295106,,Wang-6H-o,10.1364/JOSAA.28.002340,Self-consistent optical constants of SiC thin films.,"J. I. Larruquert, A. P. Pérez-Marín, S. García-Cortés, L. Rodríguez-de Marcos, J. A. Aznárez, J. A. Méndez.",,2011.0,carbide,SiC
3,Titanium carbide,TiC,,,,,,,,mp-631,Fm-3m (#225),0.0,4.894158008766744,MP_DFT,8048.0,39.20106541601565,2.604174213005233,1.6131121010780503,0.0008340819739156365,False,main,TiC,31.07,2479.7,Pfluger,,3.0791533623609095,2.6953507498790517,,,,,"pubchem: not found by name; MP candidates (evidence): mp-631 Fm-3m (#225) hull=0.0000eV rho=4.894 nsites=2; MP entry = the only one within 5 meV of the lowest, and it is 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; source states composition TiC1.0",,,,,,,,,,carbide,TiC
4,Vanadium carbide,VC,,,,,,,False,,,,,,8048.0,,,,,False,main,VC,31.07,2479.7,Pfluger,,3.0328156748911463,2.5334494436381227,,,,,"pubchem: formula mismatch (target=VC, pubchem=CH4V) -- pubchem fields NULLed; MP candidates (evidence): mp-1282 Fm-3m (#225) hull=0.0881eV rho=5.800 nsites=2; mp-1238834 P6_3/mmc (#194) hull=0.2245eV rho=5.753 nsites=4 theoretical; density/SLD left NULL: the lowest MP entry is 88 meV/atom above the hull (not a supported pick); SLD: no density available, xray/neutron SLD left NULL; sample state stated by the source: sub-stoichiometric VC0.88 (MP entries are VC1.0); source states composition VC0.88 (sub-stoichiometric), not VC1.0",,,,,,,,,,carbide,VC
5,Dolomite (calcium magnesium carbonate),CaMg(CO3)2,,61833.0,C(=O)([O-])[O-].C(=O)([O-])[O-].[Mg+2].[Ca+2],HHSPVTKDOHQBKF-UHFFFAOYSA-J,16389-88-1,184.4,True,mp-6459,R-3 (#148),0.0,2.870010967365135,MP_DFT,8048.0,24.54063491048823,0.45301069442890174,5.454264509666373,1.3062168529473732e-05,False,main,CaMg_CO3_2,2500.0,40000.0,Querry-o,o-ray,,,e-ray,,,Querry-e,"pubchem: 16 CAS numbers in PUG-View record, took first/primary (16389-88-1); MP candidates (evidence): mp-6459 R-3 (#148) hull=0.0000eV rho=2.870 nsites=10; mp-3347005 R32 (#155) hull=0.0099eV rho=2.864 nsites=20 theoretical; mp-3346398 P-1 (#2) hull=0.0119eV rho=2.893 nsites=30 theoretical; mp-3346392 P2_1/c (#14) hull=0.0234eV rho=2.856 nsites=20 theoretical; mp-3346526 C2 (#5) hull=0.0235eV rho=2.885 nsites=20 theoretical; mp-3346516 P1 (#1) hull=0.0244eV rho=2.861 nsites=30 theoretical; MP entry = the only one within 5 meV of the lowest, and it is 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; [Querry-o] 633nm outside n range of main/CaMg(CO3)2/nk/Querry-o.yml; [Querry-e] 633nm outside n range of main/CaMg(CO3)2/nk/Querry-e.yml; birefringent",,,,,,,,,,carbonate,CaMgCO32
6,Bismuth ferrite,BiFeO3,,161118030.0,[O-2].[O-2].[O-2].[Fe+3].[Bi+3],UKOQHRZDRNXQCP-UHFFFAOYSA-N,12010-42-3,312.82,True,mp-23501,R3c (#161),0.0016325030000015062,8.287008794993108,bulk_elemental_approximation,8048.0,57.69089125699538,5.668662728693269,5.6451273071677095,0.00011509675757604391,False,main,BiFeO3,197.06,1669.3,Kumar,,2.9679875316455697,0.0,,,,,"MP candidates (evidence): mp-23501 R3c (#161) hull=0.0016eV rho=8.287 nsites=10; mp-645159 Pnma (#62) hull=0.0116eV rho=8.636 nsites=20; mp-1069079 P4mm (#99) hull=0.0268eV rho=7.564 nsites=10 theoretical; mp-22949 R3m (#160) hull=0.0336eV rho=7.773 nsites=10; mp-1193035 C2/m (#12) hull=0.0564eV rho=8.217 nsites=30; mp-548231 R3 (#146) hull=0.0621eV rho=8.894 nsites=10 theoretical; MP entry = the only one within 5 meV of the lowest, and it is 1.6 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample; density relabeled bulk approximation: sample is film, MP value is a bulk stand-in; sample state stated by the source: film",,,,,,,,,,oxide,BiFeO3
7,Bismuth germanate (BGO),Bi4Ge3O12,,,,,,,,mp-23560,I-43d (#220),0.0,7.1352103139337375,MP_DFT,8048.0,49.2380442917005,3.9228747196249656,4.425102014457837,6.462302745042532e-05,False,main,Bi4Ge3O12,305.0,1000.0,Williams,,2.0973346297285858,,,,,,"pubchem: not found by name; MP candidates (evidence): mp-23560 I-43d (#220) hull=0.0000eV rho=7.135 nsites=38; MP entry = the only one within 5 meV of the lowest, and it is 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample",,,,,,,,,,oxide,Bi4Ge3O12
8,Bismuth silicate (BSO),Bi12SiO20,,,,,,,,mp-23492,I23 (#197),0.006619569949487314,9.189013039707056,MP_DFT,8048.0,61.542811693736326,6.147933197908441,4.3116843197498795,3.1274845278269473e-06,False,main,Bi12SiO20,480.0,700.0,Gospodinov,,2.5283264264950773,,,,,,"pubchem: not found by name; MP candidates (evidence): mp-23492 I23 (#197) hull=0.0066eV rho=9.189 nsites=33; MP entry = the only one within 5 meV of the lowest, and it is 6.6 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample",,,,,,,,,,oxide,Bi12SiO20
9,Magnesium aluminate scandium oxide (SCAM),ScAlMgO4,,,,,,,,,,,,,8048.0,,,,,False,main,ScAlMgO4,193.0,1690.0,Stefaniuk-o,o-ray,1.836765,4e-06,e-ray,1.7689,1e-06,Stefaniuk-e,"pubchem: not found by name; MP candidates (evidence): mp-1221961 R3m (#160) hull=0.0482eV rho=3.441 nsites=7 theoretical; density/SLD left NULL: the lowest MP entry is 48 meV/atom above the hull and theoretical (not a supported pick); SLD: no density available, xray/neutron SLD left NULL; birefringent",,,,,,,,,,oxide,ScAlMgO4
10,Ytterbium oxide,Yb2O3,,159375.0,[O-2].[O-2].[O-2].[Yb+3].[Yb+3],UZLYXNNZYFBAQO-UHFFFAOYSA-N,1314-37-0,394.1,True,mp-2814,Ia-3 (#206),0.0,9.49797550007494,MP_DFT,8048.0,61.15748553806554,3.899965751678308,6.113846353146016,0.0058056593653334375,False,main,Yb2O3,435.0,644.0,Medenbach,,1.9420358445651387,,,,,,"pubchem: 10 CAS numbers in PUG-View record, took first/primary (1314-37-0); MP candidates (evidence): mp-2814 Ia-3 (#206) hull=0.0000eV rho=9.498 nsites=40; MP entry = the only one within 5 meV of the lowest, and it is 0.0 meV/atom above the hull: calculated (DFT) density; polymorph NOT verified against the sample",,,,,,,,,,oxide,Yb2O3
