key,name,gap_kind,reason
CH2Cl2,Dichloromethane,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.322 at 68 °F (USCG, 1999) - Dens' vs PAC Chemical Database, U.S.  '1.3266 @ 20°C'"
C6F14,Perfluorohexane,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: Hazardous Substances Data Ba '1.6910 g/cu cm at 20 °C' vs PAC Chemical Database, U.S.  '1.6995 @ 20°C'"
C6H3Cl3,"1,2,4-Trichlorobenzene",density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.454 at 68 °F (USCG, 1999) - Dens' vs PAC Chemical Database, U.S.  '1.459 @25 °C'"
C7F5N,Pentafluorobenzonitrile,density,"no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 21.85 degC (records: [])"
2-C3H7OH,2-Propanol (isopropanol),density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: Hazardous Substances Data Ba '0.78509 at 25 °C' vs PAC Chemical Database, U.S.  '0.7809 @25 °C'"
1-C3H7OH,1-Propanol,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '0.803 at 68 °F (USCG, 1999) - Less' vs PAC Chemical Database, U.S.  '0.8044 @25 °C'"
C3H6O,Acetone,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '0.791 at 68 °F (USCG, 1999) - Less' vs Hazardous Substances Data Ba '0.7845 g/cu cm at 20 °C'; Hazardous Substances Data Ba '0.7845 g/cu cm at 20 °C' vs PAC Chemical Database, U.S.  '0.791 @ 20°C'"
C18H34O2,Oleic acid,density,"no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 20 degC (records: ['0.89 at 77 °F (USCG, 1999) - Less dense '])"
C5H10O2-ipac,Isopropyl acetate,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: Hazardous Substances Data Ba '0.8718 @ 20 °C/4 °C' vs PAC Chemical Database, U.S.  '0.874 @25 °C'"
C9H10O3,Ethyl salicylate,density,"no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 19.85 degC (records: [])"
C11H12O2,Ethyl cinnamate,density,"no PubChem density (>= 3 significant digits, stated temperature) within 10 degC of 20 degC (records: [])"
C12H14O4,Diethyl phthalate,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: CAMEO Chemicals '1.12 at 68 °F (USCG, 1999) - Dense' vs PAC Chemical Database, U.S.  '1.232 @ 14°C'"
C2H6OS,Dimethyl sulfoxide,density,"PubChem density records are physically inconsistent (a wrong value or temperature label), so none is used: Hazardous Substances Data Ba '1.100 at 20 °C/4 °C' vs PAC Chemical Database, U.S.  '1.101 @25 °C'"
