name,formula,selection_key,polymorph_hint,ri_books_searched,ri_match,in_repo_density_source,reason
Indium nitride,InN,InN,wurtzite,InN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Boron nitride (cubic),BN,BN-cubic,cubic (c-BN),cBN|c-BN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),BN book on RI.info holds only h-BN pages; no cubic-BN dataset
Tantalum nitride,TaN,TaN,,TaN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Niobium nitride,NbN,NbN,rock salt,NbN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Chromium nitride,CrN,CrN,rock salt,CrN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Zirconium nitride,ZrN,ZrN,rock salt,ZrN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Hafnium nitride,HfN,HfN,rock salt,HfN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Tungsten nitride,WN,WN,,WN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Molybdenum nitride,MoN,MoN,,MoN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Scandium nitride,ScN,ScN,rock salt,ScN,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Copper(I) nitride,Cu3N,Cu3N,anti-ReO3,Cu3N,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Magnesium nitride,Mg3N2,Mg3N2,anti-bixbyite,Mg3N2,none in catalog-nk.yml (main/other shelves),none found (grep of repo CSV/py/json/md/sql + DBs),no RI.info dataset and no in-repo density source; not fabricated
Non-stoichiometric silicon nitride (SiNx) - Kischkat,SiNx,SiNx-Kischkat,,Si3N4,main/Si3N4/nk/Kischkat.yml,n/a (not loaded),"non-stoichiometric SiNx (Kischkat et al. 2012: Non-stoichiometric SiN; n,k 1.54–14.29 µm); deliberately NOT loaded, no SiNx material row created this run; follow-up"
Non-stoichiometric silicon nitride (SiNx) - Beliaev,SiNx,SiNx-Beliaev,,Si3N4,main/Si3N4/nk/Beliaev.yml,n/a (not loaded),"non-stoichiometric SiNx (Beliaev et al. 2022: Non-stoichiometric SiN; n,k 0.21-1.7 µm); deliberately NOT loaded, no SiNx material row created this run; follow-up"
Non-stoichiometric silicon nitride (SiNx) - Vogt-1.91,SiNx,SiNx-Vogt-1.91,,Si3N4,main/Si3N4/nk/Vogt-1.yml,n/a (not loaded),"non-stoichiometric SiNx (Vogt 2015: Non-stoichiometric SiN #1; n,k 0.25-1.7 µm); deliberately NOT loaded, no SiNx material row created this run; follow-up"
Non-stoichiometric silicon nitride (SiNx) - Vogt-2.09,SiNx,SiNx-Vogt-2.09,,Si3N4,main/Si3N4/nk/Vogt-2.yml,n/a (not loaded),"non-stoichiometric SiNx (Vogt 2015: Non-stoichiometric SiN #2; n,k 0.25-1.7 µm); deliberately NOT loaded, no SiNx material row created this run; follow-up"
Non-stoichiometric silicon nitride (SiNx) - Vogt-2.13,SiNx,SiNx-Vogt-2.13,,Si3N4,main/Si3N4/nk/Vogt-3.yml,n/a (not loaded),"non-stoichiometric SiNx (Vogt 2015: Non-stoichiometric SiN #3; n,k 0.25-1.7 µm); deliberately NOT loaded, no SiNx material row created this run; follow-up"
