idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year
1,Aluminium oxide / sapphire,Al2O3,corundum/sapphire,9989226.0,[O-2].[O-2].[O-2].[Al+3].[Al+3],PNEYBMLMFCGWSK-UHFFFAOYSA-N,1344-28-1,101.961,True,mp-1143,R-3c (#167),0.0,3.8734991245808144,MP_DFT,8048.0,32.60996889122008,0.3766444818565014,5.561514716944987,2.9429439493939528e-05,False,main,Al2O3,200.0,5000.0,Malitson-o,ordinary (o),1.7658950046600563,,extraordinary (e),1.757862231304614,,Malitson-e,"pubchem: 19 CAS numbers in PUG-View record, took first/primary (1344-28-1)",,,,,,,,,
2,Beryllium oxide,BeO,wurtzite,14775.0,[Be]=O,LTPBRCUWZOMYOC-UHFFFAOYSA-N,1304-56-9,25.012,True,mp-2542,P6_3mc (#186),0.0,3.0194371131212456,MP_DFT,8048.0,24.699764023388703,0.0721999300741162,9.88280751651626,1.574927006518864e-06,False,main,BeO,440.0,7000.0,Edwards-o,ordinary (o),1.716955180203595,,extraordinary (e),1.73211377875013,,Edwards-e,"pubchem: 14 CAS numbers in PUG-View record, took first/primary (1304-56-9)",,,,,,,,,
3,Chrysoberyl,BeAl2O4,chrysoberyl,13726050.0,[Be+2].[O-][Al]=O.[O-][Al]=O,HMTCCKKVZOGDKA-UHFFFAOYSA-N,120041-06-7,126.973,True,mp-3081,Pnma (#62),0.0,3.713486086701745,MP_DFT,8048.0,31.088413100431875,0.3074489899445472,6.675727002974209,2.3037639239560912e-05,False,main,BeAl2O4,250.0,2600.0,Walling-α,biaxial alpha (nα),1.6004059388027254,,biaxial beta (nβ),1.5814619562352934,,Walling-β,,biaxial gamma (nγ),1.5900968455097948,,Walling-γ,,,,,
4,Beryllium hexaaluminate,BeAl6O10,,,,,,,,mp-560974,P2_1/c (#14),0.0010587416911738,3.742688936660163,MP_DFT,8048.0,31.44124585717697,0.3431815075384513,5.8934644557406415,2.6433781512346342e-05,False,main,BeAl6O10,430.0,1100.0,Pestryakov-α,biaxial alpha (nα),1.7396575835652486,,biaxial beta (nβ),1.744084361194323,,Pestryakov-β,"pubchem: not found by name; polymorph_ambiguity: no pre-verified expected space group for this material -- took lowest energy_above_hull MP entry, please confirm polymorph match against RI.info data; MP structure (mp-560974, P2_1/c #14) sourced from ICSD-95408 (Alimpiev et al. 2002, J. Cryst. Growth 237, 884-889), same research group (Pestryakov) as the optical dataset used here -- accepted with high confidence. Could not obtain experimental lattice parameters (paper paywalled, not in COD) to compute an experimental density, so density_source remains MP_DFT.",biaxial gamma (nγ),1.737723516842289,,Pestryakov-γ,,,,,
5,Calcium gadolinium aluminate,CaGdAlO4,K2NiF4-type,,,,,,,,,,5.971787,experimental lattice params,8048.0,42.33354105515956,5.249128570753078,4.595795818690191,1.71184420149424,True,main,CaGdAlO4,350.0,2100.0,Loiko-o,ordinary (o),1.925729745893636,,extraordinary (e),1.949392456989453,,Loiko-e,"pubchem: not found by name; no MP structure match. Density = 5.971787 g/cm3 (experimental lattice params: I4/mmm K2NiF4-type, a=3.65855 A, c=11.9787 A, Z=2 (MP's only entry is a theoretical, ICSD-unbacked I4mm approximation of this Ca/Gd site-disordered structure; MP density 5.860 g/cm3 is ~1.9% low)). Verify before use.",,,,,10.1016/S0925-8388(99)00701-X,Crystal structure and optical spectroscopy of CaGdAlO4:Er single crystal,"Vasylechko, L.; Kodama, N.; Matkovskii, A.; Zhydachevskii, Ya.",Journal of Alloys and Compounds,2000.0
6,Calcium yttrium aluminate,CaYAlO4,K2NiF4-type,,,,,,,,,,4.630187,experimental lattice params,8048.0,37.34254079011782,1.356568601124938,4.958302463568921,6.845085425769484e-05,False,main,CaYAlO4,350.0,2100.0,Loiko-o,ordinary (o),1.8939506720047896,,extraordinary (e),1.9169551889490708,,Loiko-e,"pubchem: not found by name; no MP structure match. Density = 4.630187 g/cm3 (experimental lattice params: I4/mmm K2NiF4-type, a=3.6451 A, c=11.8743 A, Z=2 (MP's only entry is a theoretical, ICSD-unbacked I4mm approximation of this Ca/Y site-disordered structure; MP density 4.532 g/cm3 is ~2.1% low)). Verify before use.",,,,,10.1016/0022-4596(92)90073-5,"Dielectric constants and crystal structures of CaYAlO4, CaNdAlO4, and SrLaAlO4, and deviations from the oxide additivity rule","Shannon, R.D.; Oswald, R.A.; Parise, J.B.; Chai, B.H.T.; Byszewski, P.; Pajaczkowska, A.; Sobolewski, R.",Journal of Solid State Chemistry,1992.0
7,Spinel,MgAl2O4,spinel,9855501.0,[O-2].[O-2].[O-2].[O-2].[Mg+2].[Al+3].[Al+3],UAMZXLIURMNTHD-UHFFFAOYSA-N,12068-51-8,142.27,True,mp-3536,Fd-3m (#227),0.0,3.582135926109096,MP_DFT,8048.0,30.258349850598176,0.3414488735497688,5.381170971297045,2.216999384373131e-05,False,main,MgAl2O4,350.0,5500.0,Tropf,none (isotropic/cubic/amorphous),1.7137035574839752,,,,,,"pubchem: 5 CAS numbers in PUG-View record, took first/primary (12068-51-8)",,,,,,,,,
8,Lanthanum aluminate,LaAlO3,,21871568.0,[O-2].[O-2].[O-2].[Al+3].[La+3],BOIGHUSRADNYQR-UHFFFAOYSA-N,12003-65-5,213.885,True,mp-2920,R-3c (#167),0.000273197000002,6.535048669387797,MP_DFT,8048.0,48.24794060814014,5.242643042508842,5.354462674494008,0.0004708294993812,False,main,LaAlO3,141.0,1675.0,Chernova,none (isotropic/cubic/amorphous),2.0565251278305334,1.1157765084002909e-23,,,,,"pubchem: 2 CAS numbers in PUG-View record, took first/primary (12003-65-5)",,,,,,,,,
9,Barium borate (BBO),BaB2O4,beta-BBO,,,,,,,mp-5730,R3c (#161),0.0004578380952366,3.845530009872251,MP_DFT,8048.0,28.470422834830075,2.684018225862686,4.039179336523093,0.0443435511915995,True,main,BaB2O4,220.0,1060.0,Eimerl-o,ordinary (o),1.6625893046246392,,extraordinary (e),1.5465992055136326,,Eimerl-e,pubchem: not found by name,,,,,,,,,
10,Bismuth triborate (BiBO),BiB3O6,alpha-BiBO,,,,,,False,mp-23349,C2 (#5),0.0186760219999984,5.0263,experimental lattice params,8048.0,36.06428608202434,2.4051383435124136,5.315088904687733,0.0574053140391632,True,main,BiB3O6,480.0,3100.0,Umemura-α,biaxial alpha (nα),1.7670308852454013,,biaxial beta (nβ),1.7956111621995865,,Umemura-β,"pubchem: formula mismatch (target=BiB3O6, pubchem=BBiO3) -- pubchem fields NULLed; mp-554718 (Pca2_1 #29, Knyrim et al. 2006 'a new non-centrosymmetric MODIFICATION of BiB3O6') rejected as a distinct, non-standard polymorph -- not the commercial NLO crystal our Umemura et al. 2007 optical data was measured on; density overridden from MP_DFT (4.9633 g/cm3) to experimental value (5.0263 g/cm3): experimental lattice params: alpha-BiBO, C2, a=7.120 A, b=4.995 A, c=6.508 A, beta=105.59 deg, Z=2",biaxial gamma (nγ),1.9316396305057195,,Umemura-γ,10.1107/S0108270184004078,"Die Kristallstruktur von Wismutborat, BiB3O6","Froehlich, R.; Bohaty, L.; Liebertz, J.",Acta Crystallographica Section C,1984.0
11,Lithium triborate (LBO),LiB3O5,,23716905.0,[Li+].B(=O)OB([O-])OB=O,VCZFPTGOQQOZGI-UHFFFAOYSA-N,,119.4,True,mp-3660,Pna2_1 (#33),0.0065684697222492,2.488007026732085,MP_DFT,8048.0,20.618790994928524,0.0640535353773356,5.396072723800765,0.0827807053318344,True,main,LiB3O5,289.0,1064.0,Chen-α,biaxial alpha (nα),1.5711217909732664,,biaxial beta (nβ),1.596331684868671,,Chen-β,,biaxial gamma (nγ),1.6121965684390986,,Chen-γ,,,,,
12,Cesium lithium borate (CLBO),CsLiB6O10,,,,,,,,mp-5990,I-42d (#122),0.0007770066666665,2.324289361041556,MP_DFT,8048.0,18.160426472282005,0.9303453501273756,3.5819379228590873,0.0501796562895762,True,main,CsLiB6O10,190.0,2750.0,Sasaki-o,ordinary (o),1.4905743094383952,,extraordinary (e),1.4387139634688155,,Sasaki-e,pubchem: not found by name,,,,,,,,,
13,Lutetium aluminium borate,LuAl3(BO3)4,,,,,,,,,,,,,8048.0,,,,,True,main,LuAl3(BO3)4,266.0,1338.0,Fang-o,ordinary (o),1.7700678975953723,,extraordinary (e),1.6968618462583114,,Fang-e,"pubchem: not found by name; MP: no entries found for formula, quarantined; SLD: no density available, xray/neutron SLD left NULL",,,,,,,,,
14,Calcite,CaCO3,calcite,10112.0,C(=O)([O-])[O-].[Ca+2],VTYYLEPIZMXCLO-UHFFFAOYSA-L,471-34-1,100.09,True,mp-3953,R-3c (#167),0.0,2.703519704858185,MP_DFT,8048.0,23.175437197705833,0.652415076808288,4.6781088078514586,1.963573657998285e-05,False,main,CaCO3,204.0,2172.0,Ghosh-o,ordinary (o),1.6556793914055077,,extraordinary (e),1.4849041584214762,,Ghosh-e,"pubchem: 19 CAS numbers in PUG-View record, took first/primary (471-34-1)",,,,,,,,,
