idx,name,formula,polymorph,pubchem_cid,smiles,inchikey,cas_number,molecular_weight,pubchem_formula_match,mp_id,mp_space_group,mp_energy_above_hull_ev,density_g_cm3,density_source,xray_energy_ev,xray_sld_real,xray_sld_imag,neutron_sld_real,neutron_sld_imag,strong_neutron_absorber,ri_shelf,ri_book,ri_wl_min_nm,ri_wl_max_nm,ri_page_primary,axis_primary,n_633,k_633,axis_2,n_633_axis2,k_633_axis2,ri_page_axis2,flags,axis_3,n_633_axis3,k_633_axis3,ri_page_axis3,density_citation_doi,density_citation_title,density_citation_authors,density_citation_journal,density_citation_year,materialclass,selection_key
1,Aluminium arsenide,AlAs,,89859.0,[Al]#[As],MDPILPRLPQYEEN-UHFFFAOYSA-N,22831-42-1,101.90313,True,mp-2172,F-43m (#216),0.0,3.7018177310136027,MP_DFT,8048.0,27.905349595452105,0.7938149492529154,2.1939969865161584,0.00028781383108029946,False,main,AlAs,560.0,2200.0,Fern,,3.1098769918165523,,,,,,"pubchem: 5 CAS numbers in PUG-View record, took first/primary (22831-42-1); MP candidates (evidence): mp-2172 F-43m (#216) hull=0.0000eV rho=3.702 nsites=2; mp-8881 P6_3mc (#186) hull=0.0074eV rho=3.709 nsites=4 theoretical; mp-988945 Pa-3 (#205) hull=0.1498eV rho=3.909 nsites=16 theoretical; mp-11209 P6_3/mmc (#194) hull=0.2483eV rho=4.550 nsites=4; mp-988940 Fm-3m (#225) hull=0.2764eV rho=4.554 nsites=2 theoretical; mp-988939 P4/mmm (#123) hull=0.6253eV rho=4.264 nsites=2 theoretical; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-2172, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Rakic1996: n(633 nm)=3.1259248210023864, k=0.0009750223269689742; additional source Gadras2025: n(633 nm)=3.2016900306061213, k=0.0011298426705341092 at 599.85 degC (not compared: different temperature); 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Fern1971, widest span among ambient-temperature pages covering 633 nm); Gadras 2025 is AlxGa1-xAs with x = 1.0 at 600 degC (temperature on the rows)",,,,,,,,,,III-V semiconductor,AlAs
2,Aluminium antimonide,AlSb,,91307.0,[Al]#[Sb],LVQULNGDVIKLPK-UHFFFAOYSA-N,25152-52-7,148.742,True,mp-2624,F-43m (#216),0.0,4.175546641957562,MP_DFT,8048.0,30.582966207756925,2.8136546060711822,1.524720921625565,0.0002416906743431963,False,main,AlSb,213.79999999999998,885.6,Zollner,,3.863834355828221,0.0035981595092024537,,,,,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (25152-52-7); MP candidates (evidence): mp-2624 F-43m (#216) hull=0.0000eV rho=4.176 nsites=2; mp-1018100 P6_3mc (#186) hull=0.0089eV rho=4.178 nsites=4 theoretical; mp-15621 Pa-3 (#205) hull=0.1170eV rho=4.479 nsites=16 theoretical; mp-1023918 Cmcm (#63) hull=0.1878eV rho=5.132 nsites=4 theoretical; mp-1228806 I-4m2 (#119) hull=0.2386eV rho=5.225 nsites=2 theoretical; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-2624, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Adachi1990: n(633 nm)=3.87248, k=0.14723; additional source Djurisic2000: n(633 nm)=3.94028, k=0.05480199999999998; 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Zollner1989, widest span among ambient-temperature pages covering 633 nm)",,,,,,,,,,III-V semiconductor,AlSb
3,Boron phosphide,BP,,88409.0,B#P,FFBGYFUYJVKRNV-UHFFFAOYSA-N,20205-91-8,41.79,True,mp-1479,F-43m (#216),0.0,2.981368786747575,MP_DFT,8048.0,24.595956280754137,0.5332599057030468,4.481706089385877,0.09167103279787658,True,main,BP,454.5,632.8000000000001,Wettling,,,,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (20205-91-8); MP candidates (evidence): mp-1479 F-43m (#216) hull=0.0000eV rho=2.981 nsites=2; mp-1008559 P6_3mc (#186) hull=0.0141eV rho=2.980 nsites=4; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-1479, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; [Wettling] 633nm outside n range of main/BP/nk/Wettling.yml",,,,,,,,,,III-V semiconductor,BP
4,Gallium arsenide,GaAs,,14770.0,[Ga]#[As],JBRZTFJDHDCESZ-UHFFFAOYSA-N,1303-00-0,144.645,True,mp-2534,F-43m (#216),0.0,5.053200369484521,MP_DFT,8048.0,36.61863554237587,1.0956698475325433,2.917622132459858,0.0004241637356800551,False,main,GaAs,260.49,1878.6799999999998,Papatryfonos,,3.814961104294478,0.19545457055214724,,,,,"pubchem: 11 CAS numbers in PUG-View record, took first/primary (1303-00-0); MP candidates (evidence): mp-2534 F-43m (#216) hull=0.0000eV rho=5.053 nsites=2; mp-8883 P6_3mc (#186) hull=0.0055eV rho=5.281 nsites=4 theoretical; mp-15619 Pa-3 (#205) hull=0.1440eV rho=5.476 nsites=16 theoretical; mp-603640 Imm2 (#44) hull=0.3481eV rho=6.201 nsites=2; mp-2362466 I-4m2 (#119) hull=0.3527eV rho=6.211 nsites=2 theoretical; mp-1245314 P1 (#1) hull=0.4098eV rho=5.082 nsites=100 theoretical; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-2534, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Aspnes1986: n(633 nm)=3.857104294478528, k=0.1981411042944785; additional source Jellison1992: n(633 nm)=3.8468, k=0.1892; additional source Skauli2003: n(633 nm)=None; additional source Kachare1976: n(633 nm)=None; additional source Perner2023: n(633 nm)=None; additional source Adachi1989: n(633 nm)=3.716364419087137, k=0.1880397717842323; SOURCES DISAGREE at 633 nm by 2.6% (Papatryfonos2021 3.8150 vs Adachi1989 3.7164, axis isotropic); both kept, none preferred on quality; additional source Rakic1996: n(633 nm)=3.7920015560165976, k=0.20098237551867218; additional source Ozaki1995: n(633 nm)=3.769335211267606, k=0.32061845070422534; additional source Franta2026-300K: n(633 nm)=None; additional source Gadras2025: n(633 nm)=4.1124498853770755, k=0.3143987609321864 at 599.85 degC (not compared: different temperature); additional source Franta2026-370K: n(633 nm)=None at 96.85 degC (not compared: different temperature); additional source Franta2026-440K: n(633 nm)=None at 166.85 degC (not compared: different temperature); 13 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Papatryfonos2021, widest span among ambient-temperature pages covering 633 nm); Franta 2026 is a 300/370/440 K series; Gadras 2025 is AlxGa1-xAs with x = 0.0 at 600 degC",,,,,,,,,,III-V semiconductor,GaAs
5,Gallium phosphide,GaP,,82901.0,P#[Ga],HZXMRANICFIONG-UHFFFAOYSA-N,12063-98-8,100.697,True,mp-2490,F-43m (#216),0.0,4.128066400195779,MP_DFT,8048.0,31.317064092681388,0.8614860660898154,3.0657287497045256,0.000200605390866568,False,main,GaP,500.0,4000.0,Bond,,3.3147510000000002,,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (12063-98-8); MP candidates (evidence): mp-2490 F-43m (#216) hull=0.0000eV rho=4.128 nsites=2; mp-8882 P6_3mc (#186) hull=0.0085eV rho=4.132 nsites=4 theoretical; mp-1018275 R-3m (#166) hull=0.1342eV rho=3.976 nsites=4; mp-971632 Pa-3 (#205) hull=0.1695eV rho=4.362 nsites=16 theoretical; mp-971648 Imm2 (#44) hull=0.4820eV rho=4.978 nsites=2 theoretical; mp-971631 P4/mmm (#123) hull=0.5737eV rho=4.839 nsites=2 theoretical; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-2490, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Khmelevskaia2021: n(633 nm)=3.32834, k=0.00552; additional source Aspnes1983: n(633 nm)=3.318328220858896, k=0.0; additional source Jellison1992: n(633 nm)=3.3165999999999998, k=-0.0014; additional source Parsons1971: n(633 nm)=None; additional source Adachi1989: n(633 nm)=3.355331639004149, k=0.0; 6 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Bond1965, widest span among ambient-temperature pages covering 633 nm)",,,,,,,,,,III-V semiconductor,GaP
6,Gallium antimonide,GaSb,,,,,,,False,mp-1156,F-43m (#216),0.0,5.502076833850459,MP_DFT,8048.0,39.34946593929221,3.1532417932822416,2.2249525400669126,0.000368600921594684,False,main,GaSb,206.6,826.6,Aspnes,,5.163855828220859,1.1573895705521469,,,,,"pubchem: formula mismatch (target=GaSb, pubchem=GaSb+3) -- pubchem fields NULLed; MP candidates (evidence): mp-1156 F-43m (#216) hull=0.0000eV rho=5.502 nsites=2; mp-1018059 P6_3mc (#186) hull=0.0145eV rho=5.514 nsites=4 theoretical; mp-1224785 I-4m2 (#119) hull=0.1847eV rho=6.591 nsites=2 theoretical; mp-684664 Immm (#71) hull=0.1941eV rho=6.601 nsites=2 theoretical; mp-1244895 P1 (#1) hull=0.2849eV rho=5.840 nsites=100 theoretical; mp-1245146 P1 (#1) hull=0.2852eV rho=5.664 nsites=100 theoretical; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-1156, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Adachi1989: n(633 nm)=5.061627697095434, k=1.239026244813277; additional source Djurisic2000: n(633 nm)=5.121091573033708, k=1.1458646067415732; 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Aspnes1983, widest span among ambient-temperature pages covering 633 nm); page Ferrini NOT loaded: film: 'Thin film grown by molecular beam epitaxy on a GaSb substrate' (the page also mislabels x = 0 as GaAs); scope rule. Bulk papers Aspnes, Adachi, Djurisic are loaded.",,,,,,,,,,III-V semiconductor,GaSb
7,Indium arsenide,InAs,,91500.0,[As]#[In],RPQDHPTXJYYUPQ-UHFFFAOYSA-N,1303-11-3,189.74,True,mp-20305,F-43m (#216),0.0,5.532953275601533,MP_DFT,8048.0,40.17834347306207,2.970637710766045,1.869371432795818,0.009683959556425117,False,main,InAs,206.6,826.6,Aspnes,,3.9636564417177915,0.6090858895705521,,,,,"pubchem: 6 CAS numbers in PUG-View record, took first/primary (1303-11-3); MP candidates (evidence): mp-20305 F-43m (#216) hull=0.0000eV rho=5.533 nsites=2; mp-1007652 P6_3mc (#186) hull=0.0077eV rho=5.522 nsites=4 theoretical; mp-20412 Pa-3 (#205) hull=0.1126eV rho=5.819 nsites=16 theoretical; mp-21391 Fm-3m (#225) hull=0.1878eV rho=6.613 nsites=2; mp-641533 Cmcm (#63) hull=0.1985eV rho=6.521 nsites=12 theoretical; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-20305, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Lorimor1965: n(633 nm)=None; additional source Adachi1989: n(633 nm)=3.896035373443983, k=0.6031404564315351; 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Aspnes1983, widest span among ambient-temperature pages covering 633 nm)",,,,,,,,,,III-V semiconductor,InAs
8,Indium phosphide,InP,,31170.0,P#[In],GPXJNWSHGFTCBW-UHFFFAOYSA-N,22398-80-7,145.792,True,mp-20351,F-43m (#216),0.0,4.705583128980038,MP_DFT,8048.0,35.29581521788893,2.9539880694833287,1.7872409280661723,0.010484572529650538,False,main,InP,206.6,826.6,Aspnes,,3.5361411042944786,0.3073558282208589,,,,,"pubchem: 8 CAS numbers in PUG-View record, took first/primary (22398-80-7); MP candidates (evidence): mp-20351 F-43m (#216) hull=0.0000eV rho=4.706 nsites=2; mp-966800 P6_3mc (#186) hull=0.0039eV rho=4.705 nsites=4 theoretical; mp-20457 Fm-3m (#225) hull=0.2353eV rho=5.702 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-20351, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Panah2016: n(633 nm)=None; additional source Pettit1965: n(633 nm)=None; additional source Adachi1989: n(633 nm)=3.3342551867219914, k=0.30470071576763486; SOURCES DISAGREE at 633 nm by 5.7% (Aspnes1983 3.5361 vs Adachi1989 3.3343, axis isotropic); both kept, none preferred on quality; 4 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Aspnes1983, widest span among ambient-temperature pages covering 633 nm)",,,,,,,,,,III-V semiconductor,InP
9,Indium antimonide,InSb,,3468413.0,[In]#[Sb],WPYVAWXEWQSOGY-UHFFFAOYSA-N,1312-41-0,236.578,True,mp-20012,F-43m (#216),0.0,5.384060889680052,MP_DFT,8048.0,38.66768277434964,4.1020787251594735,1.3204994606609561,0.007573324215626155,False,main,InSb,206.6,826.6,Aspnes,,4.290039877300614,1.8131840490797546,,,,,"pubchem: 4 CAS numbers in PUG-View record, took first/primary (1312-41-0); MP candidates (evidence): mp-20012 F-43m (#216) hull=0.0000eV rho=5.384 nsites=2; mp-1007661 P6_3mc (#186) hull=0.0058eV rho=5.572 nsites=4; mp-1223637 I-4m2 (#119) hull=0.1159eV rho=6.921 nsites=2 theoretical; mp-684597 Imm2 (#44) hull=0.1198eV rho=6.896 nsites=2 theoretical; mp-20253 Cmcm (#63) hull=0.1212eV rho=6.772 nsites=12; mp-10149 Fm-3m (#225) hull=0.1380eV rho=6.765 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-20012, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; additional source Adachi1989: n(633 nm)=4.770658921161826, k=1.9346410788381743; SOURCES DISAGREE at 633 nm by 11.2% (Aspnes1983 4.2900 vs Adachi1989 4.7707, axis isotropic); both kept, none preferred on quality; additional source Djurisic2000: n(633 nm)=4.215424615384616, k=1.8130015384615386; 3 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (Aspnes1983, widest span among ambient-temperature pages covering 633 nm)",,,,,,,,,,III-V semiconductor,InSb
10,Cadmium telluride,CdTe,,91501.0,[Cd]=[Te],RPPBZEBXAAZZJH-UHFFFAOYSA-N,1306-25-8,240.0,True,mp-406,F-43m (#216),0.0,5.6362395107915155,MP_DFT,8048.0,39.89022668586842,4.579201204279234,1.4863000201364964,0.09928733746976004,False,main,CdTe,6000.0,22000.0,DeBell-300K,,,,,,,,"pubchem: 7 CAS numbers in PUG-View record, took first/primary (1306-25-8); MP candidates (evidence): mp-406 F-43m (#216) hull=0.0000eV rho=5.636 nsites=2; mp-12779 P6_3mc (#186) hull=0.0026eV rho=5.640 nsites=4; mp-685146 Cmc2_1 (#36) hull=0.0086eV rho=5.478 nsites=4 theoretical; mp-2872104 P6_422 (#181) hull=0.1077eV rho=6.149 nsites=6 theoretical; mp-1492 P3_121 (#152) hull=0.1126eV rho=6.148 nsites=6; mp-2388 Fm-3m (#225) hull=0.1733eV rho=6.910 nsites=2; density = MP DFT (calculated, not measured) for the ambient structure zincblende (F-43m), mp-406, 0.0 meV/atom above the hull; the ambient structure is standard crystallography, not stated on the RI.info page; [DeBell-300K] 633nm outside n range of main/CdTe/nk/DeBell-300K.yml; additional source Marple1964: n(633 nm)=None; additional source Adachi1993: n(633 nm)=3.014213103448276, k=0.331916724137931; additional source DeBell1979-80K: n(633 nm)=None at -193.15 degC (not compared: different temperature); additional source DeBell1979-20K: n(633 nm)=None at -253.15 degC (not compared: different temperature); 5 papers loaded as separate datasets; n_633/k_633 columns are the primary paper (DeBell1979-300K, widest span among ambient-temperature pages covering 633 nm); DeBell 1979 is a 300/80/20 K series; page Treharne NOT loaded: sputtered film: 'A CdTe film was deposited on to a soda-lime glass substrate using RF magnetron sputtering' (film n,k depend on deposition; scope rule). Bulk papers Marple, DeBell, Adachi are loaded.",,,,,,,,,,II-VI semiconductor,CdTe
