q (1/Ang),Reflectivity
0.01000000,1.00000000e+00
0.01098196,1.00000000e+00
0.01196393,1.00000000e+00
0.01294589,1.00000000e+00
0.01392786,1.00000000e+00
0.01490982,1.00000000e+00
0.01589178,1.00000000e+00
0.01687375,1.00000000e+00
0.01785571,1.00000000e+00
0.01883768,1.00000000e+00
0.01981964,1.00000000e+00
0.02080160,1.00000000e+00
0.02178357,1.00000000e+00
0.02276553,1.00000000e+00
0.02374749,1.00000000e+00
0.02472946,1.00000000e+00
0.02571142,1.00000000e+00
0.02669339,1.00000000e+00
0.02767535,1.00000000e+00
0.02865731,1.00000000e+00
0.02963928,1.00000000e+00
0.03062124,1.00000000e+00
0.03160321,1.00000000e+00
0.03258517,1.00000000e+00
0.03356713,1.00000000e+00
0.03454910,1.00000000e+00
0.03553106,1.00000000e+00
0.03651303,1.00000000e+00
0.03749499,1.00000000e+00
0.03847695,1.00000000e+00
0.03945892,1.00000000e+00
0.04044088,1.00000000e+00
0.04142285,6.93108354e-01
0.04240481,5.07564171e-01
0.04338677,3.43059574e-01
0.04436874,2.19546430e-01
0.04535070,1.51005891e-01
0.04633267,1.30407168e-01
0.04731463,1.38809377e-01
0.04829659,1.58576422e-01
0.04927856,1.78503546e-01
0.05026052,1.93014786e-01
0.05124248,1.99993548e-01
0.05222445,1.99142274e-01
0.05320641,1.91068117e-01
0.05418838,1.76848530e-01
0.05517034,1.57842885e-01
0.05615230,1.35600616e-01
0.05713427,1.11781493e-01
0.05811623,8.80479716e-02
0.05909820,6.59239455e-02
0.06008016,4.66420036e-02
0.06106212,3.10175963e-02
0.06204409,1.93869513e-02
0.06302605,1.16264827e-02
0.06400802,7.24468798e-03
0.06498998,5.51682037e-03
0.06597194,5.62646293e-03
0.06695391,6.78559593e-03
0.06793587,8.31863207e-03
0.06891784,9.70873296e-03
0.06989980,1.06126122e-02
0.07088176,1.08527864e-02
0.07186373,1.03956159e-02
0.07284569,9.32147706e-03
0.07382766,7.79140369e-03
0.07480962,6.01314917e-03
0.07579158,4.20891485e-03
0.07677355,2.58673298e-03
0.07775551,1.31734525e-03
0.07873747,5.18105455e-04
0.07971944,2.44821786e-04
0.08070140,4.91582107e-04
0.08168337,1.19765186e-03
0.08266533,2.25972959e-03
0.08364729,3.54737253e-03
0.08462926,4.91933760e-03
0.08561122,6.23887167e-03
0.08659319,7.38649933e-03
0.08757515,8.26944284e-03
0.08855711,8.82734318e-03
0.08953908,9.03436597e-03
0.09052104,8.89805471e-03
0.09150301,8.45546111e-03
0.09248497,7.76717357e-03
0.09346693,6.90991458e-03
0.09444890,5.96840477e-03
0.09543086,5.02719702e-03
0.09641283,4.16315961e-03
0.09739479,3.43921621e-03
0.09837675,2.89982527e-03
0.09935872,2.56850275e-03
0.10034068,2.44747769e-03
0.10132265,2.51934792e-03
0.10230461,2.75040597e-03
0.10328657,3.09516045e-03
0.10426854,3.50150350e-03
0.10525050,3.91597218e-03
0.10623246,4.28861101e-03
0.10721443,4.57704471e-03
0.10819639,4.74949414e-03
0.10917836,4.78659537e-03
0.11016032,4.68199807e-03
0.11114228,4.44181875e-03
0.11212425,4.08310272e-03
0.11310621,3.63150749e-03
0.11408818,3.11845966e-03
0.11507014,2.57805828e-03
0.11605210,2.04399932e-03
0.11703407,1.54677819e-03
0.11801603,1.11138978e-03
0.11899800,7.55690742e-04
0.11997996,4.89520515e-04
0.12096192,3.14602695e-04
0.12194389,2.25174734e-04
0.12292585,2.09229591e-04
0.12390782,2.50204742e-04
0.12488978,3.28925933e-04
0.12587174,4.25606582e-04
0.12685371,5.21717099e-04
0.12783567,6.01567771e-04
0.12881764,6.53489286e-04
0.12979960,6.70541147e-04
0.13078156,6.50725430e-04
0.13176353,5.96727621e-04
0.13274549,5.15244694e-04
0.13372745,4.15991041e-04
0.13470942,3.10493881e-04
0.13569138,2.10800531e-04
0.13667335,1.28220014e-04
0.13765531,7.22113235e-05
0.13863727,4.95112758e-05
0.13961924,6.35680875e-05
0.14060120,1.14315337e-04
0.14158317,1.98287801e-04
0.14256513,3.09049148e-04
0.14354709,4.37874617e-04
0.14452906,5.74611966e-04
0.14551102,7.08632629e-04
0.14649299,8.29782530e-04
0.14747495,9.29247919e-04
0.14845691,1.00026447e-03
0.14943888,1.03861605e-03
0.15042084,1.04289096e-03
0.15140281,1.01448583e-03
0.15238477,9.57369376e-04
0.15336673,8.77637556e-04
0.15434870,7.82907695e-04
0.15533066,6.81610394e-04
0.15631263,5.82243955e-04
0.15729459,4.92656498e-04
0.15827655,4.19415761e-04
0.15925852,3.67316539e-04
0.16024048,3.39061686e-04
0.16122244,3.35135974e-04
0.16220441,3.53874425e-04
0.16318637,3.91709754e-04
0.16416834,4.43568710e-04
0.16515030,5.03375782e-04
0.16613226,5.64615703e-04
0.16711423,6.20903856e-04
0.16809619,6.66515885e-04
0.16907816,6.96834127e-04
0.17006012,7.08677908e-04
0.17104208,7.00496400e-04
0.17202405,6.72415399e-04
0.17300601,6.26142004e-04
0.17398798,5.64742802e-04
0.17496994,4.92320806e-04
0.17595190,4.13623595e-04
0.17693387,3.33619196e-04
0.17791583,2.57077180e-04
0.17889780,1.88190202e-04
0.17987976,1.30266018e-04
0.18086172,8.55125779e-05
0.18184369,5.49295913e-05
0.18282565,3.83101313e-05
0.18380762,3.43460553e-05
0.18478958,4.08223059e-05
0.18577154,5.48781692e-05
0.18675351,7.33088830e-05
0.18773547,9.28788887e-05
0.18871743,1.10618551e-04
0.18969940,1.24079130e-04
0.19068136,1.31525761e-04
0.19166333,1.32054677e-04
0.19264529,1.25628192e-04
0.19362725,1.13028452e-04
0.19460922,9.57380119e-05
0.19559118,7.57612812e-05
0.19657315,5.54054678e-05
0.19755511,3.70423707e-05
0.19853707,2.28731987e-05
0.19951904,1.47174284e-05
0.20050100,1.38437772e-05
0.20148297,2.08569500e-05
0.20246493,3.56483670e-05
0.20344689,5.74131001e-05
0.20442886,8.47293055e-05
0.20541082,1.15691043e-04
0.20639279,1.48081005e-04
0.20737475,1.79566648e-04
0.20835671,2.07901794e-04
0.20933868,2.31115911e-04
0.21032064,2.47675009e-04
0.21130261,2.56601103e-04
0.21228457,2.57541200e-04
0.21326653,2.50781419e-04
0.21424850,2.37206662e-04
0.21523046,2.18210894e-04
0.21621242,1.95567121e-04
0.21719439,1.71269274e-04
0.21817635,1.47360233e-04
0.21915832,1.25760930e-04
0.22014028,1.08114935e-04
0.22112224,9.56611486e-05
0.22210421,8.91444407e-05
0.22308617,8.87705386e-05
0.22406814,9.42074857e-05
0.22505010,1.04631970e-04
0.22603206,1.18815068e-04
0.22701403,1.35238799e-04
0.22799599,1.52232597e-04
0.22897796,1.68117520e-04
0.22995992,1.81345828e-04
0.23094188,1.90624437e-04
0.23192385,1.95012529e-04
0.23290581,1.93986182e-04
0.23388778,1.87465898e-04
0.23486974,1.75806198e-04
0.23585170,1.59749669e-04
0.23683367,1.40350731e-04
0.23781563,1.18876731e-04
0.23879760,9.66956207e-05
0.23977956,7.51601942e-05
0.24076152,5.54988370e-05
0.24174349,3.87217431e-05
0.24272545,2.55499285e-05
0.24370741,1.63721204e-05
0.24468938,1.12320162e-05
0.24567134,9.84569609e-06
0.24665331,1.16463839e-05
0.24763527,1.58514985e-05
0.24861723,2.15452085e-05
0.24959920,2.77686326e-05
0.25058116,3.36094697e-05
0.25156313,3.82832185e-05
0.25254509,4.11991807e-05
0.25352705,4.20060262e-05
0.25450902,4.06136781e-05
0.25549098,3.71904602e-05
0.25647295,3.21366522e-05
0.25745491,2.60376223e-05
0.25843687,1.96013952e-05
0.25941884,1.35867228e-05
0.26040080,8.72837305e-06
0.26138277,5.66639633e-06
0.26236473,4.88558298e-06
0.26334669,6.67025609e-06
0.26432866,1.10780520e-05
0.26531062,1.79345752e-05
0.26629259,2.68489319e-05
0.26727455,3.72483149e-05
0.26825651,4.84281926e-05
0.26923848,5.96133789e-05
0.27022044,7.00244308e-05
0.27120240,7.89434932e-05
0.27218437,8.57739041e-05
0.27316633,9.00885438e-05
0.27414830,9.16630057e-05
0.27513026,9.04910546e-05
0.27611222,8.67814184e-05
0.27709419,8.09365697e-05
0.27807615,7.35156751e-05
0.27905812,6.51851830e-05
0.28004008,5.66614891e-05
0.28102204,4.86506882e-05
0.28200401,4.17905473e-05
0.28298597,3.65995254e-05
0.28396794,3.34369522e-05
0.28494990,3.24774331e-05
0.28593186,3.37012694e-05
0.28691383,3.69012828e-05
0.28789579,4.17050404e-05
0.28887776,4.76102054e-05
0.28985972,5.40296935e-05
0.29084168,6.03425859e-05
0.29182365,6.59463786e-05
0.29280561,7.03061686e-05
0.29378758,7.29967620e-05
0.29476954,7.37344068e-05
0.29575150,7.23958232e-05
0.29673347,6.90233468e-05
0.29771543,6.38161975e-05
0.29869739,5.71090614e-05
0.29967936,4.93401978e-05
0.30066132,4.10121017e-05
0.30164329,3.26482825e-05
0.30262525,2.47499370e-05
0.30360721,1.77561807e-05
0.30458918,1.20110844e-05
0.30557114,7.74007273e-06
0.30655311,5.03736458e-06
0.30753507,3.86512914e-06
0.30851703,4.06400613e-06
0.30949900,5.37367097e-06
0.31048096,7.46130170e-06
0.31146293,9.95519082e-06
0.31244489,1.24803877e-05
0.31342685,1.46931802e-05
0.31440882,1.63114244e-05
0.31539078,1.71381863e-05
0.31637275,1.70768166e-05
0.31735471,1.61363874e-05
0.31833667,1.44272887e-05
0.31931864,1.21476549e-05
0.32030060,9.56207414e-06
0.32128257,6.97467568e-06
0.32226453,4.69913121e-06
0.32324649,3.02831709e-06
0.32422846,2.20635118e-06
0.32521042,2.40544913e-06
0.32619238,3.70956970e-06
0.32717435,6.10618219e-06
0.32815631,9.48675061e-06
0.32913828,1.36557551e-05
0.33012024,1.83473285e-05
0.33110220,2.32479405e-05
0.33208417,2.80230635e-05
0.33306613,3.23454479e-05
0.33404810,3.59225365e-05
0.33503006,3.85206677e-05
0.33601202,3.99840326e-05
0.33699399,4.02468406e-05
0.33797595,3.93377534e-05
0.33895792,3.73763273e-05
0.33993988,3.45618871e-05
0.34092184,3.11558932e-05
0.34190381,2.74593956e-05
0.34288577,2.37875572e-05
