table_name,metadata_field,total_rows,non_null,null_rows,coverage_pct,schema_status
optical_dispersion,phase,2819,0,2819,0.0,not_in_schema
optical_dispersion,bulk_vs_film,2819,0,2819,0.0,not_in_schema
optical_dispersion,thickness_nm,2819,0,2819,0.0,not_in_schema
optical_dispersion,deposition_method,2819,0,2819,0.0,not_in_schema
optical_dispersion,substrate,2819,0,2819,0.0,not_in_schema
optical_dispersion,doi_per_row,2819,0,2819,0.0,not_in_schema
physical_properties,phase,167,0,167,0.0,not_in_schema
physical_properties,bulk_vs_film,167,0,167,0.0,not_in_schema
physical_properties,thickness_nm,167,0,167,0.0,not_in_schema
physical_properties,deposition_method,167,0,167,0.0,not_in_schema
physical_properties,substrate,167,0,167,0.0,not_in_schema
physical_properties,doi_per_row,167,0,167,0.0,not_in_schema
mechanical_properties,phase,11,0,11,0.0,not_in_schema
mechanical_properties,bulk_vs_film,11,0,11,0.0,not_in_schema
mechanical_properties,thickness_nm,11,0,11,0.0,not_in_schema
mechanical_properties,deposition_method,11,0,11,0.0,not_in_schema
mechanical_properties,substrate,11,0,11,0.0,not_in_schema
mechanical_properties,doi_per_row,11,0,11,0.0,not_in_schema
rheology,shear_rate_s_inv,7,0,7,0.0,present_in_schema
rheology,phase,7,0,7,0.0,not_in_schema
rheology,bulk_vs_film,7,0,7,0.0,not_in_schema
rheology,thickness_nm,7,0,7,0.0,not_in_schema
rheology,deposition_method,7,0,7,0.0,not_in_schema
rheology,substrate,7,0,7,0.0,not_in_schema
rheology,doi_per_row,7,0,7,0.0,not_in_schema
legacy_dielectric,energy_ev,21,0,21,0.0,present_in_schema
legacy_dielectric,phase,21,0,21,0.0,not_in_schema
legacy_dielectric,bulk_vs_film,21,0,21,0.0,not_in_schema
legacy_dielectric,thickness_nm,21,0,21,0.0,not_in_schema
legacy_dielectric,deposition_method,21,0,21,0.0,not_in_schema
legacy_dielectric,substrate,21,0,21,0.0,not_in_schema
legacy_dielectric,doi_per_row,21,0,21,0.0,not_in_schema
legacy_dielectrics,phase,9,0,9,0.0,not_in_schema
legacy_dielectrics,bulk_vs_film,9,0,9,0.0,not_in_schema
legacy_dielectrics,thickness_nm,9,0,9,0.0,not_in_schema
legacy_dielectrics,deposition_method,9,0,9,0.0,not_in_schema
legacy_dielectrics,substrate,9,0,9,0.0,not_in_schema
legacy_dielectrics,doi_per_row,9,0,9,0.0,not_in_schema
legacy_optical_nk,phase,2819,0,2819,0.0,not_in_schema
legacy_optical_nk,bulk_vs_film,2819,0,2819,0.0,not_in_schema
legacy_optical_nk,thickness_nm,2819,0,2819,0.0,not_in_schema
legacy_optical_nk,deposition_method,2819,0,2819,0.0,not_in_schema
legacy_optical_nk,substrate,2819,0,2819,0.0,not_in_schema
legacy_optical_nk,doi_per_row,2819,0,2819,0.0,not_in_schema
legacy_viscoelasticity,phase,11,0,11,0.0,not_in_schema
legacy_viscoelasticity,bulk_vs_film,11,0,11,0.0,not_in_schema
legacy_viscoelasticity,thickness_nm,11,0,11,0.0,not_in_schema
legacy_viscoelasticity,deposition_method,11,0,11,0.0,not_in_schema
legacy_viscoelasticity,substrate,11,0,11,0.0,not_in_schema
legacy_viscoelasticity,doi_per_row,11,0,11,0.0,not_in_schema
legacy_dielectric,wavelength_nm,21,3,18,14.3,present_in_schema
physical_properties,temperature_c,167,30,137,18.0,present_in_schema
physical_properties,frequency_hz,167,30,137,18.0,present_in_schema
optical_dispersion,temperature_c,2819,1569,1250,55.7,present_in_schema
legacy_optical_nk,temperature_C,2819,1569,1250,55.7,present_in_schema
physical_properties,energy_ev,167,114,53,68.3,present_in_schema
physical_properties,wavelength_nm,167,117,50,70.1,present_in_schema
optical_dispersion,dataset_label,2819,2614,205,92.7,present_in_schema
optical_dispersion,source_id,2819,2819,0,100.0,present_in_schema
physical_properties,dataset_label,167,167,0,100.0,present_in_schema
physical_properties,source_id,167,167,0,100.0,present_in_schema
mechanical_properties,temperature_c,11,11,0,100.0,present_in_schema
mechanical_properties,frequency_hz,11,11,0,100.0,present_in_schema
mechanical_properties,dataset_label,11,11,0,100.0,present_in_schema
mechanical_properties,source_id,11,11,0,100.0,present_in_schema
rheology,temperature_c,7,7,0,100.0,present_in_schema
rheology,context_flag,7,7,0,100.0,present_in_schema
rheology,dataset_label,7,7,0,100.0,present_in_schema
rheology,source_id,7,7,0,100.0,present_in_schema
legacy_dielectric,temperature_C,21,21,0,100.0,present_in_schema
legacy_dielectric,frequency_hz,21,21,0,100.0,present_in_schema
legacy_dielectric,measurement_regime,21,21,0,100.0,present_in_schema
legacy_dielectric,notes,21,21,0,100.0,present_in_schema
legacy_dielectrics,temperature_C,9,9,0,100.0,present_in_schema
legacy_dielectrics,frequency_hz,9,9,0,100.0,present_in_schema
legacy_dielectrics,measurement_regime,9,9,0,100.0,present_in_schema
legacy_viscoelasticity,temperature_C,11,11,0,100.0,present_in_schema
legacy_viscoelasticity,frequency_hz,11,11,0,100.0,present_in_schema
