table_name,table_type,column_name,units,total_rows,count,missing_count,missing_pct,material_count
chemical_descriptors,table,exact_mass,g/mol,0,0,0,0.0,0.0
chemical_descriptors,table,tpsa,Å²,0,0,0,0.0,0.0
chemical_descriptors,table,logp,dimensionless,0,0,0,0.0,0.0
chemical_descriptors,table,heavy_atom_count,count,0,0,0,0.0,0.0
chemical_descriptors,table,rotatable_bonds,count,0,0,0,0.0,0.0
chemical_descriptors,table,hbond_donors,count,0,0,0,0.0,0.0
chemical_descriptors,table,hbond_acceptors,count,0,0,0,0.0,0.0
chemical_descriptors,table,aromatic_rings,count,0,0,0,0.0,0.0
consensus_properties,table,consensus_value,mixed,122,122,0,0.0,23.0
consensus_properties,table,std_dev,mixed,122,122,0,0.0,23.0
consensus_properties,table,num_sources,count,122,122,0,0.0,23.0
consensus_properties,table,confidence_score,dimensionless,122,122,0,0.0,23.0
legacy_calculated_sld,table,energy_ev,eV,68,68,0,0.0,17.0
legacy_calculated_sld,table,wavelength_nm,nm,68,68,0,0.0,17.0
legacy_calculated_sld,table,frequency_hz,Hz,68,0,68,100.0,17.0
legacy_calculated_sld,table,sld_xray_real,Å⁻²,68,68,0,0.0,17.0
legacy_calculated_sld,table,sld_xray_imag,Å⁻²,68,68,0,0.0,17.0
legacy_calculated_sld,table,sld_neutron_real,Å⁻²,68,68,0,0.0,17.0
legacy_calculated_sld,table,sld_neutron_imag,Å⁻²,68,0,68,100.0,17.0
legacy_calculated_slds,table,energy_ev,eV,46,46,0,0.0,23.0
legacy_calculated_slds,table,wavelength_nm,nm,46,46,0,0.0,23.0
legacy_calculated_slds,table,xray_sld_real,Å⁻²,46,46,0,0.0,23.0
legacy_calculated_slds,table,xray_sld_imag,Å⁻²,46,0,46,100.0,23.0
legacy_calculated_slds,table,neutron_sld_real,Å⁻²,46,46,0,0.0,23.0
legacy_calculated_slds,table,neutron_sld_imag,Å⁻²,46,0,46,100.0,23.0
legacy_chemical_descriptors,table,value[BertzCT],dimensionless,8,8,0,0.0,22.0
legacy_chemical_descriptors,table,value[ExactMolWt],g/mol,16,16,0,0.0,22.0
legacy_chemical_descriptors,table,value[FractionCSP3],dimensionless,20,20,0,0.0,22.0
legacy_chemical_descriptors,table,value[MolLogP],dimensionless,18,18,0,0.0,22.0
legacy_chemical_descriptors,table,value[MolWt],g/mol,22,22,0,0.0,22.0
legacy_chemical_descriptors,table,value[NumAromaticRings],count,20,20,0,0.0,22.0
legacy_chemical_descriptors,table,value[NumHAcceptors],count,20,20,0,0.0,22.0
legacy_chemical_descriptors,table,value[NumHDonors],count,20,20,0,0.0,22.0
legacy_chemical_descriptors,table,value[NumHeavyAtoms],count,10,10,0,0.0,22.0
legacy_chemical_descriptors,table,value[NumRings],count,10,10,0,0.0,22.0
legacy_chemical_descriptors,table,value[NumRotatableBonds],count,20,20,0,0.0,22.0
legacy_chemical_descriptors,table,value[TPSA],Å²,18,18,0,0.0,22.0
legacy_chemical_descriptors,table,value[exact_mass],g/mol,10,10,0,0.0,22.0
legacy_chemical_descriptors,table,value[h_bond_acceptors],count,10,10,0,0.0,22.0
legacy_chemical_descriptors,table,value[h_bond_donors],count,10,10,0,0.0,22.0
legacy_chemical_descriptors,table,value[logP],dimensionless,10,10,0,0.0,22.0
legacy_chemical_descriptors,table,value[rotatable_bonds],count,10,10,0,0.0,22.0
legacy_dielectric,table,wavelength_nm,nm,21,3,18,85.71,21.0
legacy_dielectric,table,frequency_hz,Hz,21,21,0,0.0,21.0
legacy_dielectric,table,energy_ev,eV,21,0,21,100.0,21.0
legacy_dielectric,table,dielectric_real,dimensionless,21,21,0,0.0,21.0
legacy_dielectric,table,dielectric_imag,dimensionless,21,6,15,71.43,21.0
legacy_dielectric,table,temperature_C,°C,21,21,0,0.0,21.0
legacy_dielectrics,table,frequency_hz,Hz,9,9,0,0.0,9.0
legacy_dielectrics,table,temperature_C,°C,9,9,0,0.0,9.0
legacy_dielectrics,table,real_permittivity,dimensionless,9,9,0,0.0,9.0
legacy_dielectrics,table,imag_permittivity,dimensionless,9,3,6,66.67,9.0
legacy_materials,table,molecular_weight,g/mol,23,23,0,0.0,
legacy_materials,table,density_g_cm3,g/cm³,23,23,0,0.0,
legacy_optical_nk,table,wavelength_nm,nm,2819,2819,0,0.0,23.0
legacy_optical_nk,table,n,dimensionless,2819,2819,0,0.0,23.0
legacy_optical_nk,table,k,dimensionless,2819,650,2169,76.94,23.0
legacy_optical_nk,table,temperature_C,°C,2819,1569,1250,44.34,23.0
legacy_pubchem_data,table,MW,g/mol,17,17,0,0.0,
legacy_pubchem_data,table,XLogP,dimensionless,17,5,12,70.59,
legacy_pubchem_data,table,HBondDonors,count,17,8,9,52.94,
legacy_pubchem_data,table,HBondAcceptors,count,17,8,9,52.94,
legacy_pubchem_data,table,RotatableBonds,count,17,8,9,52.94,
legacy_pubchem_data,table,TPSA,Å²,17,8,9,52.94,
legacy_viscoelasticity,table,frequency_hz,Hz,11,11,0,0.0,9.0
legacy_viscoelasticity,table,temperature_C,°C,11,11,0,0.0,9.0
legacy_viscoelasticity,table,storage_modulus_pa,Pa,11,11,0,0.0,9.0
legacy_viscoelasticity,table,loss_modulus_pa,Pa,11,10,1,9.09,9.0
legacy_viscoelasticity,table,viscosity_mpa_s,mPa·s,11,7,4,36.36,9.0
materials,table,molecular_weight,g/mol,23,23,0,0.0,23.0
mechanical_properties,table,storage_modulus,Pa,11,11,0,0.0,9.0
mechanical_properties,table,loss_modulus,Pa,11,10,1,9.09,9.0
mechanical_properties,table,temperature_c,°C,11,11,0,0.0,9.0
mechanical_properties,table,frequency_hz,Hz,11,11,0,0.0,9.0
optical_dispersion,table,wavelength_nm,nm,2819,2819,0,0.0,23.0
optical_dispersion,table,n,dimensionless,2819,2819,0,0.0,23.0
optical_dispersion,table,k,dimensionless,2819,650,2169,76.94,23.0
optical_dispersion,table,temperature_c,°C,2819,1569,1250,44.34,23.0
physical_properties,table,density_g_cm3,g/cm³,167,23,144,86.23,23.0
physical_properties,table,xray_sld,Å⁻²,167,114,53,31.74,23.0
physical_properties,table,neutron_sld,Å⁻²,167,114,53,31.74,23.0
physical_properties,table,dielectric_constant,dimensionless,167,30,137,82.04,23.0
physical_properties,table,temperature_c,°C,167,30,137,82.04,23.0
physical_properties,table,frequency_hz,Hz,167,30,137,82.04,23.0
physical_properties,table,wavelength_nm,nm,167,117,50,29.94,23.0
physical_properties,table,energy_ev,eV,167,114,53,31.74,23.0
rheology,table,viscosity_pas,Pa·s,7,7,0,0.0,6.0
rheology,table,shear_rate_s_inv,s⁻¹,7,0,7,100.0,6.0
rheology,table,temperature_c,°C,7,7,0,0.0,6.0
sources,table,year,year,41,0,41,100.0,
sources,table,uncertainty,dimensionless,41,0,41,100.0,
consensus_summary,view,consensus_value,mixed,122,122,0,0.0,23.0
consensus_summary,view,std_dev,mixed,122,122,0,0.0,23.0
consensus_summary,view,num_sources,count,122,122,0,0.0,23.0
consensus_summary,view,confidence_score,dimensionless,122,122,0,0.0,23.0
material_summary,view,molecular_weight,g/mol,23,23,0,0.0,23.0
spr_data,view,wavelength_nm,nm,870,870,0,0.0,23.0
spr_data,view,n,dimensionless,870,870,0,0.0,23.0
spr_data,view,k,dimensionless,870,119,751,86.32,23.0
spr_data,view,eps_real,dimensionless,870,119,751,86.32,23.0
spr_data,view,eps_imag,dimensionless,870,119,751,86.32,23.0
spr_data,view,temperature_c,°C,870,599,271,31.15,23.0
xrr_data,view,density_g_cm3,g/cm³,137,23,114,83.21,23.0
xrr_data,view,xray_sld,Å⁻²,137,114,23,16.79,23.0
xrr_data,view,neutron_sld,Å⁻²,137,114,23,16.79,23.0
xrr_data,view,energy_ev,eV,137,114,23,16.79,23.0
xrr_data,view,wavelength_nm,nm,137,114,23,16.79,23.0
